Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
310	-4091.483	-4088.236	-3.246979	0.3598136	0.191052	0.621456	0.441716	0.296968	0.254215	0.138878	0.0862554	0.315234	0.124273	0.237076	0.0627215	0.103257	0.187504	0.0705967	0.211432	0.0955178	0.0231498	0.565431	0.0338733	0.37095	0.282934	0.129494	0.216622	0.0113692	0.151166	0.683857	3.15361	3.060607
320	-4088.733	-4083.224	-5.509602	0.303032	0.176036	0.428902	0.535606	0.467729	0.265606	0.273125	0.0930847	0.257509	0.0155184	0.140491	0.0851522	0.259236	0.288873	0.0662573	0.215574	0.0681508	0.0639518	0.547933	0.0381333	0.346371	0.29149	0.126518	0.235622	0.00554448	0.106856	0.60086	3.28674	3.286869
330	-4086.103	-4080.964	-5.139381	0.3050517	0.151503	0.58765	0.457966	0.459751	0.228357	0.180716	0.182971	0.230149	0.0832686	0.249864	0.00954374	0.124208	0.303901	0.0956785	0.23185	0.0778499	0.0398658	0.509419	0.0453358	0.341404	0.280733	0.134311	0.243553	0.00571404	0.10843	0.60419	3.28167	3.249847
340	-4085.227	-4079.475	-5.751434	0.3311229	0.117539	0.585824	0.483734	0.372499	0.302252	0.226711	0.183961	0.328886	0.137201	0.0983439	0.0520283	0.181311	0.24076	0.0908452	0.247541	0.057325	0.0509283	0.499904	0.0534573	0.361222	0.286746	0.120762	0.231269	0.00815632	0.128823	0.644552	3.21847	3.311052
350	-4084.776	-4081.772	-3.004398	0.3744537	0.192697	0.531804	0.607292	0.384916	0.303403	0.127337	0.129274	0.213975	0.0587786	0.0221773	0.0482305	0.200901	0.215564	0.0875855	0.278665	0.0883936	0.0775665	0.423252	0.0445373	0.32708	0.312552	0.117061	0.243307	0.013208	0.162431	0.702087	3.12227	3.036349
360	-4085.1	-4082.351	-2.749133	0.3062219	0.137392	0.483766	0.642186	0.491584	0.197031	0.132138	0.145121	0.252016	0.0834793	0.10038	0.022826	0.0718114	0.251092	0.0767092	0.217793	0.0927456	0.0463293	0.495765	0.0706581	0.345816	0.29664	0.125231	0.232313	0.00581358	0.109343	0.606105	3.27874	3.010822
370	-4088.907	-4083.803	-5.103799	0.3109926	0.127304	0.618124	0.652278	0.444309	0.326845	0.185187	0.171965	0.259696	0.0834793	0.0654236	0.00399838	0.132823	0.174856	0.0752008	0.146709	0.0961459	0.0479328	0.561654	0.0723572	0.327316	0.310954	0.134883	0.226848	0.0062293	0.113069	0.61381	3.26689	3.246289
380	-4087.508	-4084.279	-3.228968	0.320218	0.0909279	0.385547	0.58998	0.492923	0.33466	0.227195	0.18415	0.294085	0.0472502	0.135702	0.0307601	0.118676	0.12695	0.0946979	0.223304	0.102179	0.0292685	0.517038	0.0335126	0.340126	0.289325	0.140951	0.229598	0.00707796	0.120287	0.628245	3.24439	3.058806
390	-4083.663	-4083.371	-0.2923288	0.3526474	0.1656	0.482788	0.48223	0.318034	0.288509	0.140584	0.0958187	0.302594	0.0830506	0.0943263	0.0765716	0.0734957	0.16154	0.0955697	0.213521	0.113289	0.0369058	0.478891	0.0618229	0.325246	0.310397	0.119445	0.244912	0.0105171	0.145612	0.674501	3.16937	2.765142
400	-4084.291	-4084.088	-0.203593	0.3617961	0.203395	0.456219	0.454645	0.390149	0.193388	0.161151	0.0806336	0.185234	0.0703417	0.123066	0.038517	0.22036	0.17917	0.100911	0.265347	0.0640897	0.0434995	0.441029	0.0851234	0.337171	0.289917	0.12615	0.246762	0.0116106	0.152698	0.686394	3.1493	2.756268
