Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
270	-4079.397	-4082.056	2.658694	0.3837454	0.113068	0.417804	0.415759	0.408523	0.189495	0.195567	0.153878	0.174224	0.0124447	0.116433	0.149681	0.0807303	0.0424323	0.324617	0.298434	0.129723	0.247226	0.099399	0.207681	0.118933	0.0418953	0.477288	0.054804	0.014441	0.169513	0.713075	3.10297	2.470039
280	-4082.44	-4084.9	2.460117	0.3507131	0.172626	0.391832	0.366891	0.280409	0.139965	0.231052	0.131204	0.255224	0.00269711	0.110613	0.178071	0.113799	0.115514	0.334476	0.300251	0.133663	0.23161	0.0917251	0.250109	0.128012	0.0391407	0.44044	0.050573	0.0102927	0.14411	0.671925	3.17367	2.489897
290	-4081.407	-4077.053	-4.354193	0.3259304	0.165772	0.516324	0.629153	0.404954	0.263537	0.211931	0.135032	0.284417	0.0263346	0.0692805	0.210122	0.105513	0.148958	0.329956	0.299122	0.131857	0.239065	0.0652007	0.264917	0.105737	0.0414581	0.466517	0.0561696	0.00763279	0.124759	0.636887	3.23072	3.171328
300	-4083.626	-4082.79	-0.8367038	0.3326307	0.170225	0.512097	0.451934	0.329497	0.207576	0.267146	0.173528	0.257638	0.0370063	0.00987814	0.294585	0.055874	0.0525945	0.332587	0.301507	0.132908	0.232998	0.0647118	0.22161	0.104944	0.0411472	0.511839	0.0557485	0.00831174	0.130003	0.646744	3.21494	2.819579
310	-4089.258	-4087.219	-2.038684	0.3507546	0.124072	0.500729	0.435477	0.342483	0.200738	0.260534	0.216505	0.227462	0.0329241	0.0716133	0.281798	0.0666008	0.17884	0.360685	0.293461	0.117453	0.228401	0.0624306	0.255163	0.0951302	0.0396967	0.493796	0.0537833	0.0102975	0.144142	0.67198	3.17358	2.939777
320	-4085.725	-4080.073	-5.652365	0.3043105	0.211044	0.587929	0.702189	0.418866	0.245434	0.214363	0.153446	0.261986	0.0458252	0.000941373	0.25353	0.0195811	0.18601	0.328351	0.30043	0.126215	0.245004	0.0807722	0.256363	0.0992528	0.0460682	0.467503	0.0500405	0.00565148	0.107852	0.602971	3.28352	3.301145
330	-4087.311	-4083.149	-4.162117	0.3481711	0.131605	0.669174	0.423757	0.541969	0.22618	0.182753	0.130951	0.267647	0.0500612	0.00301339	0.372901	0.105499	0.0466083	0.321277	0.315502	0.123496	0.239725	0.0779824	0.276964	0.100908	0.044477	0.451356	0.0483122	0.0100013	0.142133	0.668506	3.17936	3.15212
340	-4085.185	-4083.854	-1.331917	0.3930468	0.134287	0.514006	0.436378	0.34649	0.312977	0.234919	0.147275	0.233677	0.0293188	0.00257802	0.287809	0.093107	0.0962776	0.326181	0.303528	0.119469	0.250822	0.0810043	0.287697	0.0917079	0.0347053	0.468847	0.0360385	0.0157242	0.176543	0.723645	3.08409	2.8691
350	-4085.916	-4084.449	-1.467006	0.3257124	0.181786	0.472289	0.519501	0.332438	0.137274	0.182469	0.160618	0.305311	0.116751	0.00598474	0.318177	0.0599491	0.0900623	0.323091	0.302646	0.13397	0.240294	0.0797322	0.283179	0.108026	0.0342436	0.461484	0.0333362	0.0076112	0.124589	0.636561	3.23124	2.882609
360	-4083.096	-4079.992	-3.104658	0.3409878	0.181821	0.578093	0.638081	0.386125	0.236879	0.221094	0.168733	0.173329	0.099271	0.0239557	0.204204	0.0313276	0.103461	0.323593	0.308047	0.139056	0.229304	0.105529	0.215863	0.0901141	0.0453227	0.499049	0.0441218	0.00920065	0.136534	0.658633	3.19563	3.046375
