Iteration	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
300	-4269.178	-4285.039	15.86084	0.115217	0.178032	0.218812	0.183174	0.13129	0.100972	0.0885723	0.151809	0.0315916	0.0289216	0.055535	0.0305192	0.0656363	0.193376	0.248182	0.152124	0.0500442	0.317045	0.0392293	0.28634	0.255191	0.16211	0.296358	1.380083
310	-4274.518	-4289.622	15.10448	0.105194	0.213505	0.212475	0.196301	0.15879	0.0992007	0.0747499	0.137114	0.0351286	0.0634893	0.0603748	0.0405724	0.0588251	0.208408	0.247828	0.16524	0.0492739	0.284361	0.0448889	0.251736	0.280762	0.17282	0.294682	1.455719
320	-4275.887	-4291.78	15.89312	0.105194	0.210677	0.186977	0.181038	0.151398	0.121976	0.0580518	0.12516	0.0251007	0.0508623	0.0603748	0.0431623	0.0568832	0.210761	0.237569	0.135493	0.0496442	0.30171	0.0648231	0.273342	0.288099	0.1693	0.269259	1.376855
330	-4268.702	-4284.784	16.08282	0.103734	0.166829	0.197243	0.217635	0.127149	0.0992329	0.0894567	0.128485	0.0332754	0.0471825	0.0502471	0.0346033	0.0628124	0.196797	0.256637	0.135861	0.0515494	0.303787	0.0553677	0.283031	0.272366	0.152343	0.292261	1.357885
340	-4274.999	-4289.474	14.47534	0.138104	0.167909	0.241271	0.175429	0.163863	0.122942	0.0894567	0.128185	0.0330256	0.0471825	0.0698222	0.0450021	0.0964399	0.221924	0.27419	0.118325	0.0558032	0.29189	0.0378677	0.269853	0.26029	0.154392	0.315466	1.518633
350	-4276.421	-4291.153	14.7327	0.138693	0.193572	0.27239	0.180476	0.126994	0.0898624	0.0933784	0.152192	0.0333814	0.0539304	0.0664015	0.053453	0.0381723	0.224556	0.243205	0.126813	0.0356966	0.338662	0.031067	0.249142	0.27916	0.180443	0.291254	1.492897
360	-4276.936	-4292.074	15.1378	0.146214	0.193572	0.221484	0.189484	0.108665	0.119131	0.102625	0.156783	0.0328108	0.0452205	0.0525005	0.0581833	0.0257126	0.215688	0.264587	0.133254	0.0467264	0.309418	0.0303274	0.255793	0.265734	0.191653	0.286821	1.452388
370	-4269.716	-4284.867	15.15109	0.100296	0.182192	0.210688	0.243666	0.135754	0.0935029	0.0822002	0.136678	0.0227458	0.0454586	0.0814369	0.0381509	0.0782883	0.216537	0.225109	0.12813	0.0561887	0.344322	0.0297128	0.281084	0.269251	0.167423	0.282243	1.451058
380	-4274.264	-4289.273	15.00899	0.145765	0.180504	0.212839	0.218683	0.127089	0.105642	0.0889035	0.121929	0.0197671	0.0515832	0.0924976	0.0472722	0.052794	0.157845	0.248014	0.134387	0.0807952	0.345864	0.0330947	0.297793	0.272377	0.162558	0.267273	1.465268
390	-4275.325	-4290.652	15.32741	0.104122	0.180212	0.206636	0.189257	0.151287	0.135674	0.079844	0.157776	0.0296614	0.0199925	0.093685	0.0451846	0.0400948	0.192416	0.265612	0.114413	0.0266799	0.332403	0.0684758	0.280796	0.263283	0.17253	0.283391	1.433426
400	-4275.343	-4289.783	14.44084	0.0883362	0.217647	0.267016	0.257159	0.11968	0.0830318	0.112994	0.140422	0.0407964	0.0398461	0.0775435	0.0387611	0.0388506	0.187233	0.248375	0.145837	0.0629581	0.310832	0.0447646	0.279441	0.289812	0.156453	0.274293	1.522083
410	-4270.866	-4285.746	14.88089	0.09979	0.201665	0.201856	0.227389	0.12305	0.107981	0.108535	0.148153	0.0374839	0.0390065	0.057001	0.0665489	0.0596186	0.210926	0.235129	0.13894	0.0630797	0.31673	0.0351958	0.287809	0.281402	0.174024	0.256764	1.478079
420	-4271.782	-4286.334	14.55231	0.103604	0.220397	0.26649	0.222577	0.133684	0.0934912	0.106639	0.125449	0.05455	0.0123827	0.0697914	0.0481938	0.0536865	0.18621	0.262654	0.153071	0.0438447	0.311012	0.0432085	0.260333	0.289159	0.173683	0.276825	1.510937
430	-4270.506	-4285.646	15.13925	0.0908805	0.214513	0.209938	0.2083	0.128377	0.119272	0.106763	0.14288	0.0221083	0.0200603	0.0426329	0.0600945	0.086423	0.213698	0.268941	0.12481	0.0437357	0.307052	0.0417635	0.273984	0.266487	0.155818	0.30371	1.452243
440	-4275.213	-4289.965	14.75136	0.118611	0.186613	0.23969	0.208474	0.128541	0.117428	0.0950524	0.114966	0.0184838	0.0515258	0.0747819	0.0754123	0.0614524	0.172133	0.292288	0.151702	0.0711842	0.296891	0.0158023	0.286453	0.272797	0.161124	0.279626	1.491032
450	-4267.35	-4282.729	15.37938	0.0981793	0.163852	0.217278	0.209652	0.15369	0.105964	0.0943701	0.140648	0.0268462	0.030903	0.0720695	0.0578777	0.0568988	0.22548	0.218391	0.126951	0.0577762	0.346094	0.0253078	0.276229	0.267145	0.170549	0.286077	1.428229
460	-4270.886	-4286.5	15.61401	0.0903609	0.183684	0.230135	0.198694	0.13474	0.0915713	0.0912638	0.116241	0.0207914	0.0305956	0.0692009	0.058032	0.0894568	0.213	0.264697	0.12485	0.0578518	0.295818	0.0437836	0.282367	0.250384	0.172283	0.294966	1.404766
470	-4267.775	-4283.7	15.9248	0.10493	0.170511	0.237726	0.17778	0.143366	0.103196	0.082421	0.110091	0.0263693	0.0532053	0.0728137	0.0311005	0.0601775	0.197166	0.242706	0.127512	0.0573716	0.317904	0.0573401	0.282499	0.261701	0.172835	0.282964	1.373687
480	-4277.174	-4292.046	14.87255	0.0976172	0.197057	0.269665	0.177806	0.165326	0.101185	0.0902792	0.143497	0.0429619	0.0375849	0.0728137	0.0248851	0.0582337	0.188488	0.246177	0.161959	0.0657629	0.281985	0.0556268	0.265524	0.267808	0.153083	0.313585	1.478912
490	-4271.013	-4285.652	14.63905	0.0976292	0.21008	0.215379	0.206967	0.136596	0.119294	0.0922754	0.167366	0.0483247	0.0461933	0.0624811	0.0385551	0.0611216	0.203068	0.239433	0.129539	0.044702	0.334892	0.0483663	0.305845	0.254346	0.174242	0.265566	1.502262
500	-4267.305	-4282.721	15.41531	0.105961	0.22099	0.219851	0.17963	0.147729	0.116268	0.105418	0.121564	0.0270663	0.0401211	0.0501754	0.0268271	0.0630365	0.205569	0.225708	0.147858	0.0494832	0.319715	0.0516674	0.272145	0.266623	0.18194	0.279292	1.424636
510	-4267.79	-4283.372	15.5816	0.0989198	0.171894	0.221841	0.197279	0.137498	0.111442	0.0981851	0.120231	0.0311306	0.0401859	0.0607434	0.0555534	0.0631041	0.226789	0.233453	0.12875	0.0474721	0.329828	0.0337088	0.295161	0.252755	0.169238	0.282846	1.408007
520	-4270.471	-4285.619	15.14776	0.115309	0.193466	0.176241	0.209534	0.164088	0.11135	0.0856842	0.145946	0.0322356	0.0438341	0.0702329	0.0454309	0.0580408	0.206204	0.242453	0.13277	0.0463416	0.317021	0.0552103	0.266438	0.282826	0.160861	0.289875	1.451392
530	-4273.044	-4288.825	15.78113	0.125	0.140978	0.183347	0.185913	0.1529	0.106936	0.0953599	0.142646	0.0287706	0.0671733	0.0611507	0.0335692	0.0643095	0.21456	0.222765	0.120743	0.0446126	0.348225	0.0490946	0.29406	0.266614	0.175951	0.263374	1.388054
