Iteration	Posterior	Likelihood	Prior	p	T
3150	-5.421245	-2.425513	-2.995732	0.01569722	11.89786
3160	-5.148457	-2.152725	-2.995732	0.01352607	10.23715
3170	-5.259919	-2.264187	-2.995732	0.01465871	11.10289
3180	-5.582681	-2.586948	-2.995732	0.01651246	12.52271
3190	-5.403701	-2.407968	-2.995732	0.01559855	11.82228
3200	-5.575251	-2.579518	-2.995732	0.01647785	12.49617
3210	-5.542194	-2.546462	-2.995732	0.01632096	12.37587
3220	-5.139336	-2.143603	-2.995732	0.01337667	10.12305
3230	-5.117735	-2.122003	-2.995732	0.01224738	9.261362
3240	-5.229126	-2.233394	-2.995732	0.01440814	10.91125
3250	-5.278923	-2.283191	-2.995732	0.0148014	11.21205
3260	-5.125311	-2.129578	-2.995732	0.01307813	9.895125
3270	-5.120818	-2.125086	-2.995732	0.01294161	9.790925
3280	-5.158015	-2.162282	-2.995732	0.01366301	10.34175
3290	-5.115891	-2.120159	-2.995732	0.0126972	9.604434
3300	-5.275345	-2.279613	-2.995732	0.01477513	11.19195
3310	-5.343065	-2.347333	-2.995732	0.01523556	11.54433
3320	-5.139783	-2.144051	-2.995732	0.01338457	10.12908
3330	-5.134542	-2.13881	-2.995732	0.01179876	8.919413
3340	-5.124376	-2.128644	-2.995732	0.01201842	9.086819
3350	-5.120648	-2.124916	-2.995732	0.01212988	9.171777
3360	-5.116694	-2.120962	-2.995732	0.01275534	9.64879
3370	-5.127579	-2.131846	-2.995732	0.01193985	9.026929
3380	-5.127081	-2.131349	-2.995732	0.01312368	9.929892
3390	-5.242094	-2.246361	-2.995732	0.01072823	8.104275
3400	-5.657645	-2.661913	-2.995732	0.009009633	6.798139
3410	-5.710384	-2.714652	-2.995732	0.008861589	6.685768
3420	-6.138068	-3.142336	-2.995732	0.007890505	5.949229
3430	-5.341325	-2.345593	-2.995732	0.01016744	7.677738
3440	-5.249004	-2.253272	-2.995732	0.01068251	8.069486
3450	-5.555161	-2.559429	-2.995732	0.009324953	7.037556
3460	-5.621058	-2.625326	-2.995732	0.009117647	6.880141
3470	-5.315937	-2.320205	-2.995732	0.01029489	7.774648
3480	-5.568537	-2.572804	-2.995732	0.00928142	7.004496
3490	-6.107028	-3.111296	-2.995732	0.007950793	5.994927
3500	-6.061574	-3.065842	-2.995732	0.008041394	6.06361
3510	-6.540561	-3.544829	-2.995732	0.007202534	5.428006
3520	-6.534246	-3.538514	-2.995732	0.007212206	5.43533
3530	-6.357416	-3.361684	-2.995732	0.007496271	5.650489
3540	-6.229545	-3.233812	-2.995732	0.007719703	5.81978
3550	-6.151413	-3.155681	-2.995732	0.007864962	5.929869
3560	-6.084019	-3.088287	-2.995732	0.007996302	6.029426
3570	-5.304591	-2.308859	-2.995732	0.01035481	7.820217
3580	-5.433388	-2.437656	-2.995732	0.009764017	7.371098
3590	-5.540283	-2.54455	-2.995732	0.009374328	7.075055
3600	-5.123321	-2.127588	-2.995732	0.01204726	9.108797
3610	-5.143092	-2.14736	-2.995732	0.01165773	8.811963
3620	-5.126528	-2.130795	-2.995732	0.01310981	9.919303
3630	-5.114943	-2.119211	-2.995732	0.01256741	9.50542
3640	-5.185941	-2.190209	-2.995732	0.01399652	10.59658
3650	-5.132664	-2.136932	-2.995732	0.01324944	10.0259
3660	-5.188621	-2.192888	-2.995732	0.01402497	10.61832
3670	-5.214967	-2.219235	-2.995732	0.01428263	10.81528
3680	-5.129711	-2.133979	-2.995732	0.01189312	8.991316
3690	-5.125965	-2.130233	-2.995732	0.01197797	9.055988
3700	-5.260402	-2.26467	-2.995732	0.01060987	8.014223
3710	-5.174366	-2.178634	-2.995732	0.01127751	8.522371
3720	-5.306712	-2.31098	-2.995732	0.01034346	7.811583
3730	-5.488138	-2.492405	-2.995732	0.00955608	7.213111
3740	-5.528029	-2.532297	-2.995732	0.009415781	7.106539
3750	-5.604506	-2.608773	-2.995732	0.009168092	6.918441
3760	-5.749755	-2.754023	-2.995732	0.00875633	6.605885
3770	-5.684147	-2.688415	-2.995732	0.008934172	6.740859
3780	-5.309693	-2.313961	-2.995732	0.01032762	7.799539
3790	-5.478118	-2.482385	-2.995732	0.009592714	7.240942
3800	-5.320231	-2.324498	-2.995732	0.01027271	7.757787
3810	-5.248428	-2.252696	-2.995732	0.01068627	8.072348
3820	-5.225386	-2.229654	-2.995732	0.01084478	8.192962
3830	-5.271686	-2.275954	-2.995732	0.01054101	7.961843
3840	-5.425633	-2.4299	-2.995732	0.009795136	7.394746
3850	-5.309251	-2.313519	-2.995732	0.01032996	7.801317
3860	-5.167597	-2.171865	-2.995732	0.01134846	8.576394
3870	-5.12888	-2.133147	-2.995732	0.01191089	9.004863
3880	-5.300983	-2.305251	-2.995732	0.01037429	7.835029
3890	-5.271525	-2.275792	-2.995732	0.01054198	7.962576
3900	-5.524856	-2.529123	-2.995732	0.009426636	7.114783
3910	-5.523054	-2.527322	-2.995732	0.009432821	7.119481
3920	-6.189665	-3.193933	-2.995732	0.007792953	5.875292
3930	-5.888305	-2.892573	-2.995732	0.008415753	6.347494
3940	-5.325103	-2.32937	-2.995732	0.01024787	7.738896
3950	-5.357112	-2.36138	-2.995732	0.01009227	7.620592
3960	-5.449748	-2.454015	-2.995732	0.009699809	7.32231
3970	-5.469171	-2.473439	-2.995732	0.009625934	7.26618
3980	-5.296713	-2.300981	-2.995732	0.01039762	7.852775
3990	-5.1625	-2.166768	-2.995732	0.01140515	8.619567
4000	-5.115651	-2.119919	-2.995732	0.01267551	9.587886
4010	-5.218176	-2.222444	-2.995732	0.01089807	8.233518
4020	-6.065702	-3.06997	-2.995732	0.008033048	6.057283
4030	-5.31822	-2.322488	-2.995732	0.01028307	7.765659
4040	-5.424328	-2.428596	-2.995732	0.009800413	7.398757
4050	-5.50154	-2.505808	-2.995732	0.009507983	7.176574
4060	-6.469973	-3.474241	-2.995732	0.007312422	5.511227
4070	-6.052267	-3.056535	-2.995732	0.008060299	6.077943
4080	-5.933973	-2.93824	-2.995732	0.008312167	6.268929
4090	-5.823028	-2.827296	-2.995732	0.008570898	6.465186
4100	-7.156715	-4.160983	-2.995732	0.006379702	4.805243
4110	-5.643101	-2.647369	-2.995732	0.009052017	6.830315
4120	-6.244103	-3.248371	-2.995732	0.007693406	5.799853
4130	-7.91817	-4.922438	-2.995732	0.005593025	4.210488
4140	-8.091018	-5.095286	-2.995732	0.005439041	4.094144
4150	-8.172163	-5.17643	-2.995732	0.005369316	4.041471
4160	-6.940047	-3.944315	-2.995732	0.006645016	5.005971
4170	-8.38594	-5.390208	-2.995732	0.005192859	3.908189
4180	-7.605422	-4.60969	-2.995732	0.005892632	4.436927
4190	-8.828695	-5.832963	-2.995732	0.004857059	3.654641
4200	-9.20071	-6.204977	-2.995732	0.004601448	3.461716
4210	-9.354055	-6.358323	-2.995732	0.004502243	3.386858
4220	-8.970661	-5.974928	-2.995732	0.004756888	3.579028
4230	-8.101908	-5.106176	-2.995732	0.005429592	4.087005
4240	-7.224554	-4.228822	-2.995732	0.006301039	4.745742
4250	-6.214753	-3.219021	-2.995732	0.00774666	5.840209
4260	-7.835846	-4.840114	-2.995732	0.005669141	4.268007
4270	-8.53112	-5.535388	-2.995732	0.005078586	3.821894
4280	-7.796963	-4.801231	-2.995732	0.005705749	4.295673
4290	-7.265211	-4.269479	-2.995732	0.006254822	4.710787
4300	-6.826057	-3.830325	-2.995732	0.006794177	5.118853
4310	-6.306164	-3.310431	-2.995732	0.007583836	5.71683
4320	-6.519965	-3.524233	-2.995732	0.007234191	5.45198
4330	-7.708268	-4.712536	-2.995732	0.0057909	4.360029
4340	-7.161781	-4.166049	-2.995732	0.006373759	4.800747
4350	-7.178353	-4.182621	-2.995732	0.006354397	4.786102
4360	-6.700217	-3.704484	-2.995732	0.00696758	5.25011
4370	-7.527926	-4.532194	-2.995732	0.005971535	4.496576
