Iteration	Posterior	Likelihood	Prior	T
2330	-1291.889	-1288.893	-2.995732	6.818395
2340	-1291.37	-1288.374	-2.995732	8.988357
2350	-1291.409	-1288.413	-2.995732	8.569538
2360	-1293.026	-1290.03	-2.995732	5.159739
2370	-1291.383	-1288.387	-2.995732	10.17078
2380	-1291.699	-1288.704	-2.995732	7.294738
2390	-1291.379	-1288.384	-2.995732	8.855938
2400	-1291.625	-1288.629	-2.995732	11.73738
2410	-1291.797	-1288.801	-2.995732	12.42986
2420	-1291.857	-1288.861	-2.995732	6.889378
2430	-1291.587	-1288.592	-2.995732	7.655911
2440	-1291.839	-1288.843	-2.995732	12.57911
2450	-1292.417	-1289.421	-2.995732	14.28488
2460	-1291.368	-1288.372	-2.995732	9.93804
2470	-1291.963	-1288.967	-2.995732	6.660888
2480	-1292.044	-1289.049	-2.995732	13.24857
2490	-1291.698	-1288.702	-2.995732	12.05051
2500	-1291.424	-1288.428	-2.995732	8.455064
2510	-1291.67	-1288.674	-2.995732	11.93483
2520	-1291.362	-1288.366	-2.995732	9.14955
2530	-1291.879	-1288.883	-2.995732	6.839452
2540	-1294.977	-1291.982	-2.995732	19.41571
2550	-1291.364	-1288.368	-2.995732	9.100191
2560	-1291.374	-1288.378	-2.995732	10.04208
2570	-1291.556	-1288.56	-2.995732	11.40991
2580	-1291.357	-1288.361	-2.995732	9.310034
2590	-1291.368	-1288.373	-2.995732	9.015742
2600	-1291.4	-1288.404	-2.995732	8.645183
2610	-1293.389	-1290.393	-2.995732	4.812347
2620	-1291.401	-1288.405	-2.995732	10.36758
2630	-1291.375	-1288.379	-2.995732	8.92019
2640	-1292.806	-1289.81	-2.995732	5.398722
2650	-1291.703	-1288.707	-2.995732	12.069
2660	-1291.357	-1288.361	-2.995732	9.646715
2670	-1291.515	-1288.519	-2.995732	11.19003
2680	-1291.387	-1288.391	-2.995732	8.769136
2690	-1291.738	-1288.742	-2.995732	7.187552
2700	-1291.661	-1288.665	-2.995732	11.89671
2710	-1292.774	-1289.779	-2.995732	15.15591
2720	-1291.361	-1288.366	-2.995732	9.805299
2730	-1291.947	-1288.951	-2.995732	6.692522
2740	-1292.452	-1289.457	-2.995732	5.843574
2750	-1291.622	-1288.626	-2.995732	7.534935
2760	-1291.431	-1288.436	-2.995732	10.63909
2770	-1293.72	-1290.724	-2.995732	17.14483
2780	-1291.651	-1288.655	-2.995732	11.85207
2790	-1291.374	-1288.379	-2.995732	8.921607
