Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
270	-4088.739	-4090.148	1.408385	0.3048136	0.158634	0.341927	0.426745	0.364212	0.201308	0.172522	0.117895	0.260516	0.0941929	0.22755	0.0940903	0.120484	0.0149937	0.327981	0.280701	0.139178	0.252141	0.12341	0.233525	0.0989394	0.0342591	0.432728	0.0771379	0.0056939	0.108245	0.603799	3.28226	2.59507
280	-4083.357	-4086.146	2.788353	0.4408805	0.134223	0.393751	0.395319	0.297215	0.161827	0.191349	0.171336	0.276979	0.10682	0.131187	0.0507856	0.103337	0.0429447	0.307914	0.299623	0.124166	0.268298	0.112406	0.311231	0.0901172	0.0449123	0.394143	0.0471907	0.0230266	0.211582	0.771983	2.99341	2.457073
290	-4085.635	-4085.14	-0.4952303	0.38211	0.136445	0.448097	0.501513	0.376136	0.15066	0.194484	0.109863	0.350175	0.112852	0.0577863	0.0582322	0.202246	0.0869419	0.327504	0.291142	0.120651	0.260704	0.114561	0.317197	0.0918445	0.0579057	0.401697	0.016795	0.0142203	0.168271	0.711172	3.10634	2.785432
300	-4082.875	-4082.158	-0.7169987	0.3648865	0.16611	0.576914	0.451778	0.29554	0.204807	0.198789	0.130535	0.274286	0.12868	0.130913	0.00914321	0.152219	0.0878947	0.327504	0.291142	0.120651	0.260704	0.11753	0.325418	0.0942251	0.0334868	0.412109	0.0172304	0.0119917	0.155083	0.690306	3.14262	2.807609
310	-4085.591	-4084.998	-0.5930108	0.3247282	0.118807	0.443782	0.523956	0.378078	0.258362	0.134447	0.100112	0.28168	0.121052	0.133361	0.0956231	0.168632	0.0373164	0.327504	0.291142	0.120651	0.260704	0.102406	0.292377	0.0821001	0.0291777	0.478926	0.0150131	0.00751417	0.123818	0.635086	3.23358	2.79521
320	-4083.436	-4082.041	-1.395274	0.3465261	0.16285	0.461463	0.547707	0.472293	0.275807	0.161636	0.110544	0.193175	0.0768014	0.104948	0.0486478	0.168607	0.0909567	0.32597	0.331805	0.108271	0.233954	0.0974327	0.278177	0.0781128	0.0277606	0.449088	0.0694286	0.00981502	0.140852	0.666272	3.18306	2.875436
330	-4089.331	-4085.668	-3.663021	0.3189812	0.157758	0.568748	0.492963	0.394747	0.250214	0.181986	0.175171	0.192095	0.110579	0.136688	0.0818744	0.219517	0.139869	0.32597	0.331805	0.108271	0.233954	0.0977186	0.278993	0.0853192	0.0278421	0.450406	0.0597205	0.00696079	0.119319	0.626344	3.24738	3.102211
340	-4084.865	-4086.219	1.354051	0.3719455	0.146212	0.36582	0.530711	0.30433	0.224924	0.142666	0.059178	0.236461	0.085627	0.172221	0.0757065	0.174064	0.0825826	0.324106	0.329907	0.113371	0.232615	0.0775444	0.268054	0.0848675	0.0596914	0.450439	0.0594044	0.0128839	0.16051	0.699046	3.12756	2.600504
350	-4087.566	-4085.03	-2.535987	0.3521069	0.187302	0.649694	0.51872	0.426908	0.238686	0.201178	0.187471	0.197378	0.0787414	0.131403	0.0170546	0.129962	0.0250078	0.324106	0.329907	0.113371	0.232615	0.0869785	0.263952	0.0951926	0.0364003	0.440606	0.0768703	0.0104541	0.145193	0.673783	3.17057	2.989507
360	-4087.43	-4086.668	-0.762165	0.3296176	0.143816	0.553377	0.412746	0.436092	0.293299	0.236951	0.0908511	0.236362	0.0764299	0.187332	0.0325356	0.0862623	0.0260702	0.313141	0.331258	0.109536	0.246066	0.0872455	0.264763	0.0954848	0.036512	0.441958	0.0740364	0.00800268	0.127645	0.642348	3.222	2.812125
370	-4084.672	-4083.767	-0.9046824	0.3647118	0.106305	0.452732	0.538407	0.443301	0.158364	0.222245	0.118904	0.178769	0.101799	0.114986	0.12596	0.18897	0.0756343	0.332215	0.322058	0.106494	0.239233	0.0844364	0.265804	0.0924104	0.0353364	0.423891	0.0981221	0.01197	0.154948	0.690086	3.143	2.826377
380	-4080.707	-4082.34	1.633382	0.3315841	0.118866	0.522868	0.414947	0.379149	0.171542	0.221314	0.167728	0.194246	0.0956311	0.0788368	0.135305	0.0602914	0.0118452	0.327059	0.317061	0.12036	0.23552	0.0849477	0.277937	0.0966287	0.0369495	0.443241	0.0602961	0.0082037	0.129184	0.645224	3.21739	2.572571
390	-4080.108	-4080.366	0.257766	0.332857	0.108096	0.544975	0.488807	0.442975	0.194969	0.183365	0.136586	0.170599	0.103301	0.0641698	0.0428259	0.177194	0.0522694	0.327059	0.317061	0.12036	0.23552	0.0930063	0.304303	0.102719	0.0375093	0.43061	0.0318513	0.0083352	0.13018	0.647072	3.21441	2.710132
400	-4085.262	-4081.332	-3.929234	0.3396961	0.134935	0.663952	0.458887	0.486379	0.260676	0.276809	0.174015	0.221748	0.0297894	0.0301947	0.143624	0.16219	0.0856319	0.32211	0.312263	0.13367	0.231956	0.0719185	0.300626	0.133526	0.037056	0.425407	0.0314665	0.00906024	0.135525	0.656824	3.19859	3.128832
410	-4085.625	-4085.174	-0.4515986	0.3931934	0.132173	0.428142	0.577591	0.453826	0.204478	0.268261	0.1196	0.210179	0.101982	0.116626	0.069579	0.0807391	0.0178916	0.334218	0.317038	0.116285	0.232458	0.0725624	0.289488	0.134721	0.0373877	0.429215	0.0366252	0.0157448	0.176653	0.723809	3.08379	2.781069
420	-4097.083	-4091.697	-5.385475	0.3221149	0.135385	0.756529	0.600817	0.545137	0.275471	0.191401	0.0745043	0.239275	0.080332	0.0627497	0.0701514	0.151086	0.0916183	0.334929	0.317712	0.114407	0.232953	0.0679618	0.294928	0.12618	0.0502434	0.402003	0.0586849	0.00725973	0.121772	0.631139	3.23983	3.274456
430	-4087.846	-4081.965	-5.880655	0.3047675	0.120974	0.717488	0.560268	0.496386	0.254827	0.236409	0.197676	0.192983	0.0581192	0.021836	0.0721377	0.314627	0.0802444	0.336709	0.318463	0.114677	0.230151	0.0564118	0.261305	0.126838	0.0294371	0.467017	0.0589909	0.00569	0.108209	0.603723	3.28238	3.323974
440	-4083.871	-4080.511	-3.360131	0.3010491	0.133713	0.643246	0.591033	0.40927	0.278213	0.261313	0.113695	0.216079	0.0167485	0.030515	0.0860523	0.227891	0.0641527	0.336709	0.318463	0.114677	0.230151	0.062643	0.257648	0.125062	0.0360015	0.46048	0.0581652	0.00538079	0.105311	0.59756	3.29175	3.071922
450	-4085.938	-4086.063	0.1250869	0.384398	0.184465	0.568241	0.407181	0.277776	0.145532	0.228868	0.145574	0.198541	0.0395898	0.0104025	0.0947318	0.296486	0.126012	0.335246	0.31708	0.114179	0.233494	0.0886886	0.24815	0.102833	0.0346744	0.469633	0.0560211	0.0145294	0.170008	0.71383	3.10163	2.7234
460	-4081.371	-4079.392	-1.978782	0.3701734	0.138777	0.44693	0.4742	0.409885	0.290783	0.263013	0.148677	0.234857	0.0538454	0.0636719	0.0652613	0.299283	0.0446024	0.329492	0.311637	0.129385	0.229486	0.0879897	0.198741	0.102022	0.0344012	0.521266	0.0555796	0.0126571	0.15915	0.696877	3.13132	2.933787
470	-4079.134	-4078.755	-0.3796707	0.3537205	0.170187	0.554794	0.445345	0.379705	0.232284	0.268986	0.109812	0.224394	0.0937506	0.037216	0.0502303	0.13489	0.072282	0.329492	0.311637	0.129385	0.229486	0.0746288	0.254344	0.103953	0.0319151	0.483596	0.0515631	0.0106426	0.146445	0.675921	3.16699	2.773876
480	-4081.976	-4078.516	-3.460266	0.3235648	0.185485	0.476659	0.541961	0.389833	0.231428	0.218365	0.185591	0.291881	0.0602436	0.00536195	0.0889255	0.290378	0.115823	0.329492	0.311637	0.129385	0.229486	0.0727354	0.247891	0.101316	0.0615949	0.466208	0.0502549	0.00740032	0.122907	0.633335	3.23636	3.081935
490	-4083.64	-4086.088	2.448635	0.3599734	0.139302	0.439528	0.385351	0.341222	0.248039	0.149488	0.153539	0.268426	0.095456	0.0679653	0.117811	0.0499422	0.0349752	0.342661	0.284124	0.134556	0.238659	0.0727354	0.247891	0.101316	0.0615949	0.466208	0.0502549	0.0113886	0.15129	0.684063	3.15326	2.491045
500	-4087.033	-4082.976	-4.057012	0.364065	0.099107	0.613511	0.500685	0.361075	0.276715	0.269778	0.181483	0.329922	0.0511922	0.0658656	0.238149	0.137514	0.0166123	0.333148	0.303999	0.130821	0.232033	0.0640556	0.21831	0.0892252	0.0542445	0.529907	0.0442578	0.0118898	0.154449	0.689271	3.14439	3.14161
510	-4081.592	-4079.198	-2.39332	0.3219228	0.145389	0.462515	0.466609	0.387703	0.341462	0.245364	0.152435	0.227179	0.122715	0.0555818	0.14177	0.200481	0.0260354	0.332662	0.303556	0.132087	0.231695	0.0640556	0.21831	0.0892252	0.0542445	0.529907	0.0442578	0.00724121	0.121622	0.630847	3.24029	2.975241
520	-4081.35	-4078.961	-2.388295	0.3405378	0.126177	0.543563	0.619678	0.406734	0.275353	0.209589	0.111443	0.259547	0.0736654	0.0381722	0.106202	0.171706	0.0329075	0.332662	0.303556	0.132087	0.231695	0.0561467	0.255156	0.139583	0.0458421	0.46448	0.0387933	0.00915161	0.136182	0.658004	3.19666	2.974738
530	-4080.391	-4080.858	0.4668756	0.3567881	0.12423	0.485875	0.534514	0.344914	0.237437	0.180484	0.137191	0.273633	0.091538	0.0164173	0.0637985	0.127863	0.0713258	0.332662	0.303556	0.132087	0.231695	0.0559343	0.254191	0.139055	0.049451	0.462723	0.0386466	0.0110055	0.148824	0.679943	3.16023	2.689221
540	-4085.26	-4085.097	-0.1631031	0.3078306	0.131116	0.513496	0.467525	0.345335	0.301144	0.230277	0.115497	0.257728	0.0720946	0.0207002	0.0822607	0.125997	0.0890476	0.311372	0.313241	0.136301	0.239086	0.10407	0.233615	0.127799	0.0350494	0.463948	0.0355183	0.00595199	0.110599	0.608722	3.27473	2.752219
550	-4077.861	-4077.507	-0.353807	0.340911	0.130698	0.576969	0.471554	0.371043	0.278755	0.213929	0.131889	0.173605	0.0726154	0.0494922	0.12412	0.130374	0.0462465	0.3491	0.289407	0.135759	0.225735	0.0852567	0.191383	0.104696	0.0287133	0.555496	0.0344555	0.00919227	0.136474	0.658526	3.19581	2.771289
560	-4079.616	-4080.392	0.7759528	0.3314469	0.13743	0.434069	0.533711	0.39243	0.155154	0.203098	0.173783	0.221268	0.0254195	0.0331864	0.0570014	0.211615	0.0801486	0.344471	0.294897	0.135435	0.225197	0.0902878	0.178048	0.114188	0.0304077	0.535876	0.0511924	0.00818959	0.129077	0.645024	3.21771	2.658313
570	-4088.461	-4085.141	-3.319837	0.3357542	0.119215	0.531766	0.494331	0.434019	0.250286	0.248436	0.180943	0.222902	0.0684611	0.0358053	0.143142	0.251271	0.0873149	0.360908	0.261251	0.141898	0.235943	0.0902878	0.178048	0.114188	0.0304077	0.535876	0.0511924	0.00863855	0.132445	0.65124	3.20768	3.067892
580	-4082.975	-4083.096	0.120823	0.33883	0.156903	0.476876	0.476945	0.42384	0.207108	0.254519	0.159646	0.15332	0.0918167	0.0198993	0.0617088	0.153248	0.0879963	0.317252	0.279499	0.15144	0.251809	0.0923209	0.182057	0.11676	0.00857454	0.547943	0.0523452	0.00896672	0.134849	0.655606	3.20058	2.723826
590	-4082.823	-4082.7	-0.1221672	0.3816659	0.18411	0.450324	0.457367	0.360784	0.220834	0.204286	0.13147	0.227432	0.106102	0.0464545	0.0644274	0.162044	0.132489	0.328058	0.275423	0.148382	0.248137	0.0923209	0.182057	0.11676	0.00857454	0.547943	0.0523452	0.0141607	0.167933	0.710653	3.10725	2.748125
600	-4086.611	-4085.845	-0.7654628	0.3954372	0.194054	0.491126	0.401791	0.431728	0.203061	0.168939	0.136103	0.182381	0.195392	0.0532639	0.0780607	0.176278	0.100276	0.325328	0.27313	0.155471	0.246071	0.100479	0.212907	0.0829765	0.00933229	0.537333	0.056971	0.0160617	0.178339	0.726296	3.0793	2.812455
610	-4088.145	-4087.759	-0.3856753	0.304759	0.142485	0.443594	0.413887	0.516469	0.189517	0.123989	0.177563	0.213829	0.128921	0.090414	0.0841528	0.178756	0.070899	0.328059	0.272024	0.154841	0.245075	0.100082	0.212066	0.0826485	0.0132486	0.535209	0.0567458	0.00568929	0.108202	0.603709	3.2824	2.774476
620	-4084.499	-4087.296	2.797788	0.3701658	0.135536	0.352909	0.4558	0.342907	0.173246	0.211401	0.0723544	0.193999	0.106589	0.0504149	0.123748	0.130296	0.10693	0.328858	0.270252	0.155218	0.245672	0.100082	0.212066	0.0826485	0.0132486	0.535209	0.0567458	0.0126561	0.159144	0.696867	3.13133	2.45613
630	-4082.624	-4080.148	-2.476295	0.3369233	0.153021	0.539068	0.528419	0.467976	0.217656	0.184599	0.112744	0.218774	0.0206864	0.0435268	0.0921598	0.290189	0.114719	0.331265	0.281427	0.154672	0.232635	0.0956019	0.216861	0.109426	0.0126555	0.51125	0.0542055	0.00876255	0.133359	0.652906	3.20497	2.983538
640	-4080.097	-4083.046	2.949368	0.4310844	0.138045	0.419494	0.398277	0.338687	0.234274	0.134253	0.155906	0.211971	0.112932	0.00410609	0.0674096	0.143824	0.081793	0.330492	0.283105	0.154311	0.232092	0.0931614	0.211325	0.106633	0.0378606	0.498198	0.0528217	0.0214423	0.204571	0.76284	3.01115	2.440972
650	-4082.831	-4079.349	-3.48164	0.3438011	0.207764	0.505521	0.589526	0.378089	0.261234	0.176125	0.149916	0.272402	0.193596	0.00632809	0.0823208	0.129338	0.131913	0.309184	0.304676	0.148247	0.237893	0.0973802	0.210342	0.106137	0.0376845	0.495881	0.052576	0.00951024	0.138728	0.662537	3.18922	3.084073
660	-4084.243	-4081.07	-3.173141	0.3146283	0.102502	0.510439	0.635806	0.39614	0.266588	0.184028	0.199187	0.273612	0.0841222	0.0253625	0.0274633	0.201185	0.146789	0.320195	0.315527	0.117913	0.246365	0.0886511	0.291451	0.0966228	0.0343065	0.45143	0.0375392	0.00655674	0.115912	0.619571	3.25796	3.053223
