Iteration	Replicate_ID	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
32	0	-4276.202	-4290.536	14.33306	0.1096	0.172784	0.301547	0.205384	0.12295	0.137858	0.104724	0.0974306	0.0803077	0.036654	0.0621874	0.0196469	0.0817887	0.183747	0.269351	0.153512	0.033709	0.321452	0.038229	0.266686	0.28667	0.180034	0.266611	1.532862
33	0	-4276.868	-4291.431	14.56333	0.106983	0.197223	0.268609	0.17722	0.140065	0.129972	0.1001	0.154566	0.102119	0.0276094	0.0358054	0.0196469	0.0499162	0.195774	0.282616	0.125949	0.0617997	0.287119	0.0467426	0.261559	0.28857	0.152665	0.297206	1.509834
34	0	-4273.465	-4288.536	15.07128	0.128346	0.167942	0.186177	0.221944	0.116313	0.137895	0.0989499	0.125291	0.10131	0.0496995	0.0203371	0.0563583	0.048477	0.202913	0.236532	0.136901	0.0556729	0.330374	0.0376066	0.301341	0.26674	0.153602	0.278317	1.459039
35	0	-4271.886	-4287.032	15.14634	0.104528	0.192208	0.211755	0.201289	0.141346	0.137937	0.0840328	0.153686	0.0717021	0.0298147	0.0222712	0.0641229	0.0368403	0.191724	0.247169	0.151002	0.0465503	0.319923	0.0436309	0.29027	0.262542	0.166301	0.280887	1.451533
36	0	-4273.563	-4289.281	15.71866	0.120212	0.152242	0.219683	0.206216	0.108783	0.126775	0.0993806	0.110617	0.057776	0.0387275	0.0469883	0.0348341	0.0720667	0.225342	0.233807	0.16555	0.0330777	0.308077	0.0341457	0.256901	0.286054	0.17467	0.282375	1.394301
37	0	-4271.158	-4286.501	15.34326	0.0979283	0.207408	0.225332	0.226609	0.133416	0.0769655	0.0953067	0.115284	0.0492207	0.0501736	0.0335514	0.0295569	0.0910881	0.203774	0.237351	0.133012	0.0456858	0.341641	0.0385369	0.260967	0.269423	0.181879	0.287731	1.431841
38	0	-4268.909	-4284.142	15.23289	0.105809	0.193391	0.237697	0.193075	0.161285	0.102021	0.0835616	0.129645	0.0656008	0.0362467	0.0351833	0.0200564	0.0793051	0.21494	0.247652	0.138975	0.0419527	0.302834	0.0536467	0.266132	0.258706	0.179654	0.295507	1.442878
39	0	-4276.027	-4292.016	15.9888	0.115009	0.152244	0.225299	0.222906	0.1401	0.0993442	0.0814263	0.142923	0.0569204	0.0225315	0.0529635	0.0130222	0.042599	0.224588	0.264547	0.153749	0.0399277	0.288279	0.0289084	0.256644	0.277313	0.160366	0.305677	1.367287
40	0	-4275.522	-4290.436	14.91421	0.100543	0.241306	0.240585	0.233505	0.132519	0.108245	0.0761083	0.0979372	0.045366	0.0160245	0.045439	0.0440208	0.0931468	0.188866	0.287118	0.137365	0.0447703	0.314735	0.0271453	0.266889	0.278361	0.172091	0.282659	1.474746
41	0	-4268.526	-4283.489	14.963	0.113736	0.20406	0.22536	0.191759	0.144161	0.126115	0.123061	0.12185	0.0572513	0.0233824	0.0401646	0.0313815	0.0675854	0.20395	0.254713	0.126573	0.05898	0.312994	0.0427898	0.287175	0.278432	0.167249	0.267144	1.469867
42	0	-4273.321	-4288.081	14.76066	0.127688	0.194849	0.222545	0.220172	0.128385	0.120003	0.126366	0.140935	0.0704251	0.0314841	0.0404993	0.019271	0.0474787	0.227414	0.201115	0.119403	0.0606038	0.349004	0.0424608	0.277428	0.27054	0.173949	0.278083	1.490101
43	0	-4272.331	-4287.437	15.1063	0.119391	0.202878	0.257468	0.191183	0.134072	0.0995905	0.0919869	0.12526	0.0739746	0.00810769	0.0490807	0.0418868	0.0606577	0.21431	0.260093	0.117538	0.0469558	0.328635	0.0324676	0.260115	0.255826	0.178088	0.305971	1.455537
44	0	-4272.407	-4287.696	15.28885	0.0987435	0.161483	0.233155	0.223059	0.118085	0.124528	0.113533	0.117184	0.0686461	0.00973988	0.033738	0.0693726	0.0660167	0.195444	0.260367	0.139077	0.0613697	0.311489	0.0322538	0.290743	0.26019	0.158987	0.29008	1.437282
45	0	-4271.986	-4288.475	16.48907	0.107886	0.160956	0.188685	0.172405	0.118981	0.133479	0.0671606	0.131539	0.0697287	0.0222657	0.0202122	0.0607066	0.0632562	0.21746	0.2346	0.140906	0.0694323	0.316313	0.0212879	0.266864	0.261694	0.171926	0.299517	1.317261
46	0	-4272.937	-4287.912	14.97582	0.0854413	0.214038	0.212469	0.222699	0.14683	0.125924	0.0911228	0.131539	0.0819922	0.0115157	0.0446695	0.0607066	0.0396385	0.186812	0.270959	0.134137	0.0682108	0.310749	0.029132	0.256547	0.273448	0.162705	0.3073	1.468585
47	0	-4279.926	-4294.8	14.87418	0.111776	0.177894	0.238847	0.148477	0.183943	0.0875283	0.0911856	0.149823	0.0743264	0.0245668	0.0213159	0.0918093	0.0772586	0.18346	0.253993	0.117245	0.050361	0.376479	0.018462	0.2907	0.24607	0.178135	0.285094	1.47875
48	0	-4277.526	-4292.584	15.05838	0.113047	0.183184	0.232125	0.181211	0.123363	0.140315	0.109338	0.116916	0.0700984	0.044673	0.0268017	0.0705101	0.0487477	0.221707	0.275015	0.150321	0.0611956	0.254134	0.0376272	0.258381	0.270629	0.17679	0.2942	1.460329
49	0	-4272.504	-4287.438	14.9336	0.0964858	0.172439	0.238212	0.237392	0.135997	0.106872	0.0808489	0.140923	0.0706233	0.0364213	0.00714354	0.0580204	0.0914282	0.202076	0.250664	0.130271	0.0418772	0.335098	0.0400139	0.285673	0.264025	0.178012	0.272291	1.472807
50	0	-4269.389	-4284.635	15.24599	0.100704	0.171111	0.242744	0.192007	0.162852	0.0924206	0.0919098	0.137939	0.0663994	0.0196172	0.0272888	0.0497559	0.086819	0.19958	0.255133	0.14105	0.0625236	0.309687	0.0320277	0.256979	0.286629	0.161485	0.294906	1.441568
