Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
550	-4078.304	-4079.449	1.145437	0.3799098	0.148298	0.502679	0.420572	0.305739	0.215655	0.208839	0.131401	0.23249	0.0764164	0.0869753	0.0221343	0.165	0.105166	0.322342	0.30356	0.148608	0.225491	0.113323	0.187215	0.08689	0.0599744	0.511889	0.0407087	0.013926	0.166596	0.708592	3.11089	2.621365
560	-4082.547	-4084.816	2.268471	0.3504573	0.151681	0.367105	0.382549	0.332152	0.255834	0.233482	0.132391	0.142683	0.0532087	0.0866999	0.0641822	0.169041	0.138053	0.328729	0.297229	0.129957	0.244084	0.118802	0.192508	0.0907871	0.0616701	0.522996	0.0132365	0.0102631	0.143911	0.671582	3.17424	2.509062
570	-4086.001	-4087.614	1.612735	0.4598665	0.171955	0.478715	0.4701	0.446808	0.170951	0.183727	0.112074	0.138961	0.0593321	0.0541649	0.0410093	0.140207	0.10663	0.307235	0.277795	0.161117	0.253852	0.117518	0.190428	0.110436	0.0254595	0.517345	0.0388142	0.0262128	0.22491	0.788717	2.96016	2.574635
580	-4081.158	-4080.797	-0.3612426	0.3548636	0.167753	0.555143	0.448571	0.398803	0.229585	0.18714	0.164678	0.170909	0.0436007	0.130154	0.0743876	0.161083	0.0402255	0.319012	0.285354	0.165501	0.230133	0.116448	0.185678	0.109429	0.0373541	0.512631	0.0384605	0.0107772	0.147332	0.677426	3.16446	2.772033
590	-4084.006	-4088.452	4.446036	0.3221639	0.140908	0.322791	0.385881	0.325277	0.258442	0.156532	0.123334	0.143731	0.0298837	0.0462127	0.0494882	0.230108	0.0787174	0.342237	0.273498	0.14794	0.236325	0.112594	0.220747	0.105808	0.0433239	0.480339	0.0371878	0.00726446	0.12181	0.631214	3.23971	2.291305
600	-4081.214	-4084.199	2.984329	0.3665513	0.152364	0.501231	0.414571	0.261175	0.187721	0.193608	0.0992757	0.24465	0.00192485	0.0421484	0.063767	0.200433	0.0746066	0.340532	0.274207	0.148323	0.236938	0.1119	0.229986	0.105156	0.0386232	0.477377	0.0369585	0.0121994	0.156365	0.692391	3.13904	2.437476
610	-4080.41	-4082.466	2.055521	0.3691543	0.138674	0.463946	0.400859	0.284369	0.217965	0.203226	0.120052	0.147238	0.0397649	0.133816	0.0707405	0.166174	0.143533	0.344699	0.283339	0.145955	0.226007	0.081181	0.242209	0.110744	0.0241936	0.502749	0.0389228	0.0125275	0.158367	0.695622	3.13348	2.530357
620	-4091.06	-4091.684	0.6242877	0.4414192	0.148434	0.387516	0.323861	0.403561	0.20668	0.182872	0.170806	0.257603	0.0113158	0.151576	0.0709289	0.166518	0.191809	0.305196	0.300419	0.154753	0.239632	0.0797548	0.202626	0.108799	0.0770811	0.493917	0.0378221	0.0231149	0.211965	0.772476	2.99244	2.67348
630	-4085.836	-4086.474	0.6377645	0.4079418	0.155089	0.41622	0.491292	0.389264	0.236253	0.140871	0.152234	0.249159	0.067486	0.0468452	0.050175	0.214045	0.0631981	0.370335	0.27156	0.139887	0.218218	0.0921165	0.202997	0.102608	0.0762529	0.48861	0.0374157	0.0178766	0.187663	0.739733	3.05473	2.672132
640	-4088.457	-4089.215	0.7585766	0.3546644	0.160112	0.327004	0.399359	0.376836	0.214349	0.206737	0.165753	0.289684	0.0521396	0.165149	0.00252564	0.150118	0.150285	0.352728	0.306193	0.133236	0.207843	0.0742256	0.238472	0.132741	0.0648016	0.462302	0.0274578	0.0107537	0.147178	0.677164	3.1649	2.660051
650	-4085.772	-4085.636	-0.1359058	0.3530367	0.177282	0.510112	0.387939	0.374395	0.228175	0.137654	0.177481	0.155703	0.0150562	0.14827	0.0535262	0.298736	0.0851699	0.338006	0.289056	0.137704	0.235234	0.0749274	0.240727	0.133996	0.055959	0.466673	0.0277174	0.0105626	0.145915	0.675017	3.16851	2.749499
660	-4087.712	-4090.23	2.517719	0.3755056	0.15886	0.4271	0.376706	0.319817	0.169607	0.195295	0.1678	0.221392	3.91301e-06	0.139503	0.12739	0.149335	0.0313276	0.323966	0.315194	0.123419	0.237421	0.0647213	0.239062	0.133069	0.0583039	0.463444	0.0414001	0.0133451	0.163235	0.703353	3.12007	2.484137
670	-4080.23	-4080.829	0.5995466	0.3325494	0.14757	0.556442	0.469057	0.393224	0.184438	0.211525	0.168749	0.183017	0.0259433	0.0887001	0.0567044	0.126744	0.0638386	0.321146	0.303803	0.12828	0.246771	0.0642195	0.240303	0.128476	0.0578519	0.471721	0.0374279	0.00830333	0.129939	0.646626	3.21513	2.675954
680	-4080.323	-4082.238	1.914296	0.3437296	0.122712	0.407	0.497585	0.388466	0.250636	0.205982	0.128411	0.14838	0.0434805	0.0724137	0.0098292	0.19094	0.078643	0.340288	0.299364	0.126405	0.233942	0.107395	0.21133	0.112985	0.0508766	0.476542	0.0408717	0.00950231	0.138673	0.662439	3.18939	2.544479
690	-4085.8	-4086.303	0.5033519	0.4314383	0.146628	0.368915	0.596371	0.385291	0.201555	0.22017	0.118001	0.22409	0.0933936	0.0187019	0.0304021	0.160924	0.121131	0.341361	0.300308	0.139588	0.218744	0.111528	0.219461	0.117333	0.0206565	0.494878	0.0361438	0.0214988	0.204826	0.763176	3.0105	2.685574
700	-4085.189	-4092.645	7.455381	0.3764558	0.11455	0.285093	0.325544	0.286359	0.128848	0.136746	0.152876	0.216278	0.0972428	0.0450766	0.0136466	0.138112	0.0499984	0.327168	0.287822	0.133785	0.251225	0.109689	0.221303	0.129274	0.0313721	0.486718	0.0216446	0.0134695	0.163962	0.704492	3.11808	1.990371
710	-4083.302	-4085.318	2.016273	0.3282455	0.16111	0.424407	0.4169	0.343737	0.221667	0.142239	0.137271	0.181674	0.0967295	0.0387219	0.0348099	0.237817	0.0971964	0.327168	0.287822	0.133785	0.251225	0.107735	0.217361	0.144782	0.0308133	0.47805	0.0212591	0.00786395	0.126572	0.640326	3.22524	2.534281
720	-4081.518	-4084.651	3.133774	0.3750325	0.103569	0.424383	0.462377	0.369014	0.166866	0.148988	0.125989	0.164197	0.108476	0.0803599	0.0915373	0.158386	0.0183887	0.328076	0.288998	0.145496	0.237429	0.0967086	0.209386	0.129964	0.0481853	0.496673	0.0190833	0.0132834	0.162874	0.702785	3.12106	2.422531
730	-4083.019	-4085.207	2.188531	0.3986919	0.123711	0.467684	0.41417	0.382282	0.210796	0.171575	0.121383	0.19346	0.0572985	0.102452	0.0234781	0.175744	0.0730216	0.314054	0.288584	0.145288	0.252074	0.0987021	0.274767	0.113194	0.050387	0.443379	0.0195695	0.0165261	0.180778	0.729861	3.07283	2.517056
740	-4079.852	-4079.015	-0.8366926	0.3402857	0.163632	0.585963	0.444637	0.357248	0.244253	0.209973	0.107292	0.287958	0.0764797	0.0285087	0.0343024	0.154437	0.124894	0.312545	0.315023	0.13402	0.238412	0.0979602	0.24578	0.112344	0.0500083	0.474486	0.0194224	0.0091242	0.135986	0.657651	3.19724	2.819578
750	-4084.336	-4081.317	-3.018499	0.355085	0.0879589	0.470921	0.640127	0.479123	0.237492	0.282678	0.140026	0.235984	0.0730308	0.058697	0.0272726	0.212771	0.0916774	0.324643	0.297316	0.126486	0.251555	0.0911171	0.234039	0.104496	0.0465149	0.505768	0.0180656	0.0108033	0.147504	0.677717	3.16398	3.037759
760	-4079.052	-4075.932	-3.120087	0.3613286	0.208703	0.520275	0.605103	0.470419	0.206072	0.208365	0.160424	0.224901	0.0612868	0.0125821	0.0935653	0.208419	0.0678027	0.336342	0.298937	0.126371	0.238349	0.0934814	0.240112	0.0812589	0.0477219	0.518891	0.0185344	0.0115534	0.152337	0.685798	3.15031	3.047917
770	-4086.911	-4083.271	-3.640273	0.3534221	0.159974	0.395847	0.574338	0.398629	0.378804	0.144021	0.154419	0.172754	0.0342558	0.186118	0.0707168	0.246713	0.183346	0.319319	0.306605	0.129613	0.244463	0.0876506	0.225135	0.104849	0.077946	0.465575	0.0388443	0.0106076	0.146214	0.675527	3.16765	3.099936
