Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
380	-4082.713	-4085.388	2.67489	0.3842038	0.137179	0.372654	0.42268	0.328352	0.242962	0.156581	0.15351	0.208598	0.086388	0.0935113	0.15812	0.0506367	0.057249	0.319608	0.292524	0.147998	0.23987	0.0755659	0.250687	0.126466	0.0180256	0.492484	0.0367724	0.0145031	0.169861	0.713605	3.10203	2.46842
390	-4081.027	-4079.003	-2.023815	0.3233658	0.142656	0.523422	0.573187	0.422131	0.276999	0.202081	0.168952	0.152805	0.111615	0.0823167	0.219018	0.0200674	0.0430414	0.328695	0.305503	0.139579	0.226223	0.0894971	0.241395	0.112302	0.0422191	0.474231	0.0403558	0.00738095	0.122751	0.633034	3.23683	2.93829
400	-4089.303	-4087.525	-1.777642	0.3295348	0.218776	0.451258	0.529304	0.363939	0.262226	0.29296	0.111379	0.248021	0.162778	0.0823167	0.131323	0.0514122	0.00797923	0.340958	0.314552	0.109826	0.234663	0.0867874	0.234139	0.108902	0.0366073	0.459872	0.0736921	0.00799427	0.127581	0.642226	3.2222	2.913673
410	-4082.081	-4081.69	-0.3909285	0.3452099	0.130848	0.392476	0.394232	0.394118	0.262226	0.224492	0.150236	0.2619	0.125655	0.14745	0.154583	0.0787575	0.0580289	0.325008	0.297813	0.123803	0.253375	0.092097	0.248464	0.0543843	0.0388469	0.488007	0.0782006	0.0096672	0.139826	0.664474	3.18603	2.775002
420	-4082.575	-4081.263	-1.312253	0.315917	0.171149	0.444175	0.639173	0.385851	0.232951	0.146232	0.165607	0.204193	0.0995713	0.0879445	0.180883	0.0725301	0.036874	0.338269	0.300997	0.120069	0.240665	0.0878511	0.237009	0.0559266	0.0370559	0.486235	0.0959225	0.00667499	0.116921	0.62159	3.25481	2.867134
430	-4084.475	-4085.291	0.8159043	0.3194507	0.204467	0.421059	0.540472	0.306768	0.23056	0.17058	0.162785	0.179505	0.0778047	0.111653	0.183717	0.0166097	0.0483379	0.34586	0.288885	0.122764	0.242492	0.100417	0.274146	0.0571952	0.0528307	0.417314	0.0980984	0.00700514	0.119686	0.627067	3.24624	2.654318
440	-4083.46	-4082.287	-1.173121	0.364845	0.141541	0.43572	0.456211	0.435229	0.195954	0.223647	0.153281	0.322415	0.178583	0.0346207	0.161977	0.0362752	0.0777688	0.329171	0.279074	0.134177	0.257579	0.11528	0.194949	0.0684699	0.0632451	0.499577	0.058478	0.0119865	0.155051	0.690254	3.14271	2.853221
450	-4086.057	-4089.573	3.515488	0.3301728	0.14053	0.319955	0.486158	0.265208	0.220193	0.133138	0.150369	0.295519	0.136242	0.0386973	0.131896	0.0412129	0.0252415	0.345462	0.272296	0.130918	0.251323	0.109147	0.241248	0.0648268	0.0436509	0.472995	0.0681328	0.00805916	0.12808	0.643162	3.2207	2.38436
460	-4083.443	-4084.913	1.47074	0.4296053	0.169434	0.450625	0.41331	0.335092	0.220948	0.21009	0.123919	0.162338	0.122234	0.120038	0.18473	0.0508344	0.0252415	0.312561	0.299543	0.132855	0.255041	0.106861	0.239921	0.113112	0.00204467	0.470302	0.0677582	0.0212068	0.203505	0.761427	3.01386	2.588835
470	-4082.075	-4086.1	4.025253	0.3871292	0.139913	0.374971	0.454772	0.311296	0.220309	0.125254	0.104209	0.134688	0.140429	0.117007	0.115401	0.0522746	0.04286	0.310142	0.297796	0.146087	0.245975	0.109921	0.195569	0.116351	0.0246908	0.48377	0.0696985	0.0149022	0.172078	0.716969	3.09605	2.333383
