Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	bls_prop[1]	bls_prop[2]	bls_prop[3]	bls_prop[4]	bls_prop[5]	bls_prop[6]	bls_prop[7]	bls_prop[8]	bls_prop[9]	bls_prop[10]	bls_prop[11]	bls_prop[12]	bls_prop[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
250	-4075.221	-4071.389	-3.832433	0.2091024	0.40041	3.08485	2.24744	1.38853	0.860456	0.695417	0.399056	0.908306	0.39821	0.195565	1.29395	0.0890854	0.102038	0.0331924	0.255721	0.186304	0.115104	0.0713284	0.0576473	0.0330802	0.0752949	0.03301	0.0162115	0.107263	0.00738483	0.00845851	0.368471	0.293544	0.11269	0.225295	0.00937476	0.213944	0.0527478	0.0558909	0.607879	0.0601644	0.000717424	0.0391862	0.406994	3.5531	12.06331
260	-4076.505	-4074.934	-1.571532	0.1827315	0.767423	3.82498	2.54654	2.2309	1.02267	0.450517	0.300132	1.20768	0.609863	0.551212	1.26222	0.083564	0.056853	0.0514547	0.25646	0.170742	0.149579	0.0685687	0.0302065	0.0201234	0.0809735	0.0408904	0.036958	0.0846298	0.00560285	0.00381191	0.3722	0.298072	0.102152	0.227575	0.00964633	0.220141	0.0542758	0.0575099	0.625488	0.0329386	0.000276571	0.0244448	0.337112	3.63817	14.91455
270	-4073.543	-4075.301	1.757907	0.1483611	0.672942	5.93754	4.13525	2.40526	1.83602	0.754651	0.41442	1.37416	0.901659	0.499421	1.32533	0.336907	0.0532207	0.0325931	0.287577	0.200286	0.116495	0.0889252	0.0365506	0.0200719	0.0665558	0.0436707	0.0241888	0.0641907	0.0163176	0.00257767	0.377235	0.295682	0.101333	0.22575	0.0088235	0.201363	0.0496461	0.0470939	0.651401	0.0416722	4.79389e-05	0.0102307	0.236877	3.75284	20.64678
280	-4073.85	-4078.422	4.572679	0.1428215	0.933944	8.84579	4.45386	3.05002	2.10595	0.973744	0.300826	1.80585	0.53659	0.399577	3.30851	0.522054	0.444148	0.0337397	0.319563	0.1609	0.110185	0.0760797	0.0351775	0.0108677	0.0652383	0.0193849	0.0144352	0.119523	0.0188597	0.0160453	0.366988	0.315945	0.0985806	0.218486	0.00899656	0.205313	0.0506198	0.0284032	0.664178	0.0424896	3.33927e-05	0.00854494	0.220081	3.77134	27.68085
290	-4071.574	-4074.662	3.087265	0.147364	0.858498	5.2733	5.16565	2.59044	1.73326	0.95221	0.109435	2.38034	0.6541	0.609406	2.28912	0.519061	0.515259	0.0363	0.222972	0.21842	0.109532	0.0732877	0.0402624	0.00462726	0.100648	0.0276574	0.0257676	0.0967911	0.0219475	0.0217868	0.366566	0.316733	0.0984671	0.218234	0.00896772	0.204654	0.0393059	0.0283121	0.676406	0.0423534	4.50086e-05	0.00991444	0.233861	3.75618	23.65008
300	-4071.787	-4072.875	1.087805	0.1620085	0.657458	3.84871	4.50659	2.71568	1.46934	0.608566	0.0835457	0.955471	1.56134	0.458987	1.61606	0.412527	0.414666	0.0340494	0.199323	0.233394	0.140644	0.0760962	0.0315173	0.00432678	0.0494833	0.080861	0.0237707	0.0836949	0.0213646	0.0214753	0.362822	0.313497	0.0974613	0.22622	0.00776832	0.204856	0.0340489	0.0381918	0.65402	0.0611149	0.000105113	0.0151197	0.277677	3.7071	19.30895
310	-4077.237	-4078.729	1.491423	0.146991	0.367556	5.35383	3.2917	2.66273	1.43719	0.588434	0.201727	0.715505	1.76551	0.701339	2.4783	0.296367	0.241643	0.0182847	0.266335	0.163751	0.132462	0.0714956	0.0292727	0.0100352	0.035594	0.0878282	0.0348893	0.123288	0.0147433	0.012021	0.365052	0.323565	0.0937582	0.217624	0.0097918	0.258216	0.0429179	0.0481399	0.555557	0.0853767	4.39493e-05	0.00979757	0.232732	3.75743	20.10183
320	-4074.136	-4077.987	3.851384	0.144256	0.53926	6.94912	6.70217	2.89127	1.43821	0.703017	0.0486488	2.12292	0.322937	1.02587	2.53806	0.055413	0.285912	0.0210461	0.271209	0.261571	0.11284	0.05613	0.0274372	0.00189865	0.0828528	0.0126035	0.0400373	0.0990546	0.00216264	0.0111585	0.365052	0.323565	0.0937582	0.217624	0.00909416	0.239819	0.0398602	0.063506	0.606123	0.0415971	3.67683e-05	0.00896475	0.224438	3.76656	25.62279
330	-4072.107	-4074.142	2.035545	0.1651036	0.48588	6.16315	5.32406	1.59962	1.3512	0.462717	0.051239	0.948921	1.15288	0.502748	1.9463	0.832435	0.412469	0.0228826	0.290254	0.250737	0.0753342	0.0636351	0.0217917	0.00241311	0.0446895	0.0542951	0.023677	0.0916612	0.0392036	0.0194253	0.363494	0.29996	0.109446	0.227099	0.00931455	0.245631	0.0408262	0.0376876	0.620813	0.0457281	0.000123346	0.0163709	0.286771	3.69673	21.23363
340	-4069.267	-4070.871	1.603855	0.1478822	0.668723	5.59819	4.56911	1.80135	1.54258	0.634447	0.0787788	1.21899	0.745181	0.577016	2.42527	0.156811	0.313167	0.032894	0.275371	0.224752	0.0886072	0.0758783	0.031208	0.00387507	0.0599612	0.036655	0.028383	0.119297	0.00771341	0.0154045	0.36943	0.304858	0.109088	0.216624	0.010036	0.190458	0.047252	0.0325034	0.668897	0.0508532	4.65133e-05	0.0100781	0.235429	3.75445	20.32961
