Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
340	-4079.394	-4081.315	1.921123	0.3749884	0.141337	0.529223	0.482696	0.293651	0.132863	0.187242	0.106519	0.220879	0.0463817	0.106265	0.0551155	0.16074	0.0808847	0.326463	0.286547	0.137628	0.249361	0.096927	0.22544	0.0846884	0.0583504	0.480482	0.0541122	0.0132776	0.16284	0.702732	3.12115	2.543796
350	-4084.683	-4085.73	1.046791	0.3875282	0.130444	0.356903	0.436874	0.373392	0.2958	0.162045	0.125981	0.312227	0.0122257	0.122481	0.0494417	0.147987	0.105427	0.305719	0.305059	0.162577	0.226645	0.0998733	0.176357	0.104489	0.0456463	0.548637	0.0249968	0.014957	0.17238	0.717424	3.09524	2.63123
360	-4085.216	-4087.463	2.246759	0.3375463	0.155748	0.409721	0.378853	0.324797	0.280349	0.166989	0.125839	0.231818	0.0410888	0.0509285	0.0771617	0.162514	0.105427	0.313724	0.306169	0.147527	0.23258	0.0971064	0.171472	0.101594	0.0443817	0.517699	0.0677472	0.008829	0.133846	0.653791	3.20353	2.511233
370	-4081.361	-4083.056	1.695207	0.357517	0.202955	0.38828	0.380791	0.379123	0.255477	0.182075	0.109481	0.172519	0.00864572	0.120078	0.0776323	0.216511	0.0728197	0.324552	0.282222	0.152619	0.240607	0.103816	0.178163	0.109843	0.0449392	0.537902	0.0253365	0.0110926	0.149389	0.680891	3.15863	2.566388
380	-4086.547	-4083.737	-2.810053	0.3768127	0.152513	0.566328	0.498939	0.418704	0.347583	0.206831	0.0902087	0.259297	0.0583205	0.134806	0.0321192	0.20891	0.0423541	0.331146	0.284963	0.154867	0.229024	0.104358	0.155329	0.110417	0.045174	0.529385	0.0553368	0.0135163	0.164234	0.704918	3.11733	3.016914
390	-4079.299	-4076.576	-2.723485	0.3268746	0.158016	0.510494	0.518641	0.418704	0.279654	0.282596	0.158696	0.231237	0.08781	0.0852302	0.0372213	0.176556	0.0634022	0.342955	0.28653	0.139975	0.23054	0.0897245	0.164897	0.0795909	0.0479567	0.561996	0.0558348	0.00772662	0.125498	0.638294	3.22848	3.008257
400	-4090.463	-4080.513	-9.949492	0.3249066	0.211821	0.585036	0.810987	0.538018	0.218838	0.277888	0.234834	0.361789	0.0927761	0.0798043	0.0315721	0.280506	0.00698739	0.346016	0.289087	0.141224	0.223673	0.080439	0.167419	0.0808083	0.0331455	0.570592	0.0675957	0.00753171	0.123958	0.635354	3.23316	3.730858
410	-4087.081	-4077.753	-9.327364	0.3154077	0.190399	0.493442	0.656271	0.473865	0.383701	0.222716	0.198281	0.248174	0.0410524	0.200705	0.0366324	0.241233	0.282173	0.351146	0.27927	0.136428	0.233156	0.0778973	0.162129	0.0782549	0.0320981	0.598755	0.0508655	0.00662812	0.116522	0.620793	3.25606	3.668645
420	-4089.184	-4082.35	-6.834021	0.4101481	0.204618	0.63359	0.658836	0.473795	0.224387	0.197486	0.196015	0.298651	0.0154838	0.20243	0.0558896	0.171845	0.086284	0.3456	0.278541	0.143313	0.232547	0.0894769	0.158261	0.0762668	0.0312827	0.602432	0.0422813	0.0182053	0.189295	0.742033	3.05047	3.419311
430	-4085.389	-4080.104	-5.284906	0.354327	0.15534	0.616016	0.571097	0.378125	0.242491	0.187055	0.168981	0.321495	0.0220855	0.159661	0.108439	0.310818	0.0227945	0.336787	0.28585	0.1528	0.224564	0.0761552	0.168266	0.0868466	0.0350796	0.586239	0.0474131	0.0107139	0.146916	0.676721	3.16565	3.264399
