Iteration	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
380	-4277.191	-4292.685	15.49419	0.129429	0.164005	0.228519	0.173665	0.132941	0.0826514	0.102567	0.152098	0.0663561	0.0514878	0.070307	0.0395715	0.0231502	0.235037	0.202722	0.108274	0.0695895	0.346165	0.0382122	0.299519	0.249346	0.163644	0.287491	1.416749
390	-4275.633	-4290.322	14.68902	0.0978344	0.197042	0.250209	0.217068	0.152933	0.0891364	0.0799341	0.162692	0.0707941	0.0444803	0.0574568	0.0373726	0.0403125	0.199838	0.207339	0.127714	0.0472057	0.373535	0.044369	0.299931	0.266875	0.178882	0.254311	1.497265
400	-4277.146	-4292.009	14.86371	0.142028	0.236596	0.236949	0.188413	0.1068	0.100236	0.081597	0.105659	0.0676396	0.0802675	0.0486034	0.0459108	0.0390968	0.204716	0.217666	0.115364	0.0523703	0.35605	0.0538338	0.279776	0.259329	0.168487	0.292408	1.479796
410	-4269.411	-4284.713	15.30113	0.107297	0.183494	0.252822	0.199937	0.136242	0.0936515	0.0830891	0.116496	0.080888	0.0710694	0.0498189	0.0384601	0.0227895	0.206078	0.281582	0.121829	0.0423004	0.311185	0.0370246	0.27457	0.275284	0.146588	0.303558	1.436054
420	-4270.63	-4286.321	15.69094	0.114554	0.178836	0.204906	0.196809	0.142609	0.132466	0.0840189	0.11722	0.0647526	0.0874582	0.035697	0.0206988	0.0170482	0.204046	0.265378	0.124031	0.0718096	0.293267	0.0414688	0.279677	0.277687	0.148477	0.294158	1.397073
430	-4272.66	-4287.923	15.26267	0.108323	0.1867	0.199745	0.184408	0.148693	0.105725	0.0956443	0.129458	0.0903779	0.0514758	0.0776601	0.0376495	0.0240415	0.173949	0.2824	0.138891	0.0424786	0.316285	0.0459959	0.284507	0.296144	0.161458	0.257891	1.4399
440	-4279.452	-4294.433	14.98028	0.104894	0.242484	0.182458	0.196604	0.149375	0.109444	0.110261	0.134156	0.0492258	0.0461232	0.0846083	0.0286012	0.0299058	0.173934	0.256587	0.170012	0.0566347	0.31929	0.0235425	0.267623	0.285111	0.161489	0.285777	1.46814
450	-4268.524	-4283.871	15.34691	0.0890148	0.192158	0.222675	0.225044	0.14566	0.117429	0.091198	0.121544	0.0671126	0.0599788	0.048862	0.0419625	0.00883812	0.197929	0.224033	0.149132	0.0614085	0.335202	0.0322953	0.273335	0.268905	0.168377	0.289383	1.431477
460	-4272.99	-4287.761	14.7708	0.0959589	0.191369	0.262113	0.194276	0.179414	0.0900645	0.0987322	0.160354	0.0539727	0.0450918	0.0516768	0.0332616	0.0328024	0.19982	0.221282	0.158133	0.0476435	0.324378	0.0487427	0.277164	0.271437	0.177476	0.273923	1.489087
470	-4273.239	-4288.882	15.64317	0.0875626	0.190347	0.213126	0.168251	0.112396	0.129414	0.0991695	0.137165	0.100274	0.0635386	0.0372191	0.0328698	0.0305174	0.181566	0.244168	0.163855	0.0452498	0.320936	0.0442254	0.255797	0.293521	0.176474	0.274208	1.40185
480	-4270.772	-4286.16	15.38859	0.116141	0.147085	0.249031	0.223624	0.159079	0.13277	0.0738451	0.113755	0.0542026	0.0660821	0.0193764	0.0288543	0.0434636	0.219064	0.228025	0.12448	0.0472738	0.351518	0.0296388	0.283188	0.256698	0.177366	0.282748	1.427308
490	-4271.497	-4286.33	14.83314	0.0963825	0.215402	0.23981	0.176537	0.14735	0.131859	0.0864211	0.155712	0.0723933	0.0669722	0.0138208	0.0367307	0.0434636	0.188479	0.287242	0.124598	0.0474858	0.32836	0.0238341	0.262359	0.288441	0.172524	0.276676	1.482853
500	-4274.267	-4289.094	14.82715	0.11399	0.208851	0.262147	0.212742	0.141867	0.116905	0.0846133	0.10294	0.0597757	0.0669722	0.029348	0.0295398	0.0537601	0.212626	0.22743	0.115299	0.0426495	0.360948	0.0410485	0.307339	0.27119	0.164195	0.257276	1.483452
510	-4272.777	-4287.98	15.20348	0.11177	0.182798	0.237829	0.197122	0.161065	0.115405	0.1136	0.130753	0.0354851	0.03679	0.0328817	0.0180367	0.0722832	0.197166	0.262503	0.13604	0.0621835	0.317458	0.0246507	0.267547	0.274502	0.157481	0.300471	1.445819
520	-4276.03	-4291.854	15.82351	0.0979539	0.131716	0.211249	0.219183	0.148589	0.0961195	0.103146	0.118771	0.055611	0.0868637	0.0313402	0.0109913	0.0722832	0.196967	0.230245	0.132117	0.0613922	0.332313	0.046965	0.304186	0.250909	0.170573	0.274332	1.383816
530	-4271.95	-4286.663	14.7121	0.112766	0.214301	0.206902	0.22261	0.160964	0.114729	0.0904594	0.116745	0.0432751	0.0908909	0.0530387	0.0272656	0.0410106	0.218721	0.254499	0.131198	0.0509228	0.319125	0.0255348	0.264293	0.25855	0.182938	0.294219	1.494957
540	-4271.009	-4286.138	15.1291	0.103324	0.178655	0.21633	0.239288	0.159094	0.102502	0.0949354	0.125704	0.0590081	0.0789039	0.0158696	0.0227548	0.0568897	0.213657	0.238193	0.129852	0.0369424	0.351091	0.0302649	0.263014	0.252601	0.186628	0.297757	1.453258
550	-4275.965	-4291.846	15.8808	0.118713	0.190814	0.238295	0.192613	0.141012	0.0936121	0.0961013	0.12859	0.0562951	0.0414455	0.0188823	0.0264942	0.0352199	0.232353	0.247642	0.156972	0.0635208	0.262315	0.0371975	0.257656	0.269322	0.176119	0.296902	1.378087
