Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
270	-4081.13	-4081.829	0.6990986	0.322928	0.148788	0.506819	0.420949	0.401324	0.220408	0.158754	0.134642	0.178407	0.140598	0.129493	0.0521382	0.132512	0.041167	0.345125	0.299301	0.128716	0.226858	0.0722664	0.196012	0.117316	0.0300349	0.519071	0.0653005	0.00733839	0.122409	0.632372	3.23788	2.665999
280	-4086.945	-4080.081	-6.863528	0.2897723	0.196316	0.506819	0.701037	0.554123	0.231399	0.226849	0.114212	0.257694	0.154538	0.13195	0.151419	0.0197515	0.176154	0.336172	0.302125	0.132705	0.228998	0.0721485	0.195692	0.108389	0.0403534	0.518224	0.0651939	0.00450241	0.096566	0.57822	3.32071	3.422262
290	-4086.307	-4087.108	0.8003592	0.3516474	0.141011	0.397491	0.434962	0.345895	0.238706	0.169388	0.1676	0.277997	0.210587	0.069953	0.131766	0.0610424	0.00947448	0.339156	0.304806	0.128805	0.227233	0.064262	0.177845	0.115826	0.0359424	0.513109	0.0930156	0.0104008	0.144836	0.673172	3.17159	2.655873
300	-4084.338	-4080.121	-4.217465	0.3316354	0.190747	0.601122	0.484602	0.404518	0.26964	0.242578	0.181841	0.244261	0.201846	0.21312	0.0115076	0.0371649	0.0747092	0.357112	0.296524	0.125305	0.221059	0.0669724	0.185346	0.0770894	0.0394923	0.545261	0.0858383	0.00820898	0.129224	0.645299	3.21727	3.157655
310	-4089.454	-4082.717	-6.736452	0.328564	0.192875	0.612272	0.692346	0.480745	0.26813	0.18368	0.123396	0.282618	0.301998	0.0782742	0.0748563	0.026873	0.091489	0.33459	0.306912	0.129695	0.228803	0.0737483	0.196145	0.081581	0.0740099	0.483676	0.0908397	0.00789604	0.126821	0.640797	3.22449	3.409554
320	-4093.212	-4090.177	-3.035197	0.3390457	0.193688	0.525018	0.654164	0.407508	0.155396	0.279782	0.123288	0.230705	0.126376	0.165412	0.0339266	0.0537979	0.0903662	0.354361	0.305527	0.112342	0.22777	0.068548	0.182314	0.078266	0.0687912	0.517646	0.0844342	0.00898996	0.135017	0.65591	3.20008	3.039428
330	-4083.404	-4085.497	2.093599	0.3881742	0.142569	0.383219	0.312065	0.424596	0.19974	0.184289	0.130765	0.222922	0.146651	0.179832	0.078577	0.0354204	0.0859041	0.349679	0.288738	0.125381	0.236202	0.0823246	0.184961	0.0794019	0.048087	0.519566	0.0856597	0.015046	0.172868	0.71816	3.09393	2.526549
340	-4082.801	-4083.653	0.8522268	0.3460056	0.129216	0.431519	0.421318	0.277689	0.19974	0.19615	0.131415	0.330878	0.171268	0.0700745	0.11015	0.148942	0.0323265	0.342277	0.29388	0.123612	0.240231	0.0797705	0.277306	0.0826737	0.0500684	0.420992	0.0891893	0.00975643	0.140446	0.665562	3.18423	2.650686
350	-4084.548	-4086.829	2.281042	0.3508753	0.17442	0.442358	0.28706	0.340751	0.232982	0.154436	0.132472	0.200811	0.16002	0.110672	0.187483	0.0628928	0.0214478	0.3497	0.300254	0.115214	0.234831	0.091605	0.306707	0.0795867	0.0309699	0.405272	0.085859	0.0103114	0.144236	0.672142	3.17331	2.507805
360	-4080.525	-4078.584	-1.941399	0.3161169	0.153773	0.519666	0.577789	0.437392	0.193604	0.180161	0.15855	0.227353	0.210155	0.0672884	0.119063	0.0365962	0.0486568	0.3497	0.300254	0.115214	0.234831	0.0855252	0.273397	0.0859127	0.0334316	0.437486	0.0842479	0.00669344	0.117077	0.621902	3.25433	2.930049
370	-4085.831	-4082.322	-3.509139	0.3357533	0.200216	0.578445	0.528243	0.347201	0.308055	0.161434	0.126146	0.191557	0.276788	0.258968	0.0286103	0.0686869	0.0124713	0.325766	0.309446	0.122768	0.24202	0.0861092	0.275264	0.0864993	0.0268317	0.440473	0.0848232	0.00863846	0.132445	0.651238	3.20768	3.086823
380	-4086.93	-4082.776	-4.154276	0.307087	0.122507	0.774435	0.535288	0.373796	0.26273	0.186189	0.113332	0.278083	0.259425	0.0447611	0.0394609	0.117342	0.0439865	0.323709	0.308399	0.12669	0.241202	0.0900057	0.280948	0.0904135	0.0277256	0.460405	0.0505026	0.00588779	0.110018	0.607515	3.27658	3.151336
390	-4084.584	-4080.254	-4.329277	0.3009604	0.118612	0.641926	0.492976	0.407918	0.261602	0.162555	0.152255	0.299855	0.273098	0.15698	0.0454645	0.0926439	0.0629504	0.333911	0.302814	0.126441	0.236834	0.0948553	0.262284	0.0898439	0.0199762	0.485212	0.0478288	0.00537353	0.105242	0.597412	3.29197	3.168836
400	-4088.865	-4080.605	-8.26041	0.3978145	0.233087	0.690464	0.655117	0.52	0.267549	0.179089	0.142544	0.224288	0.295043	0.0766437	0.106497	0.0784167	0.0932107	0.335727	0.301737	0.126184	0.236352	0.0947998	0.243015	0.0897913	0.0482136	0.484928	0.0392521	0.0164004	0.180122	0.728905	3.07457	3.56195
410	-4087.329	-4084.52	-2.809462	0.334755	0.253742	0.38008	0.497394	0.41286	0.331822	0.135624	0.11739	0.347963	0.19036	0.112051	0.0668802	0.0851265	0.0855617	0.332879	0.299177	0.120905	0.247039	0.0958979	0.24583	0.0792476	0.0487721	0.490545	0.0397068	0.00853331	0.131664	0.649808	3.20999	3.016855
420	-4083.451	-4086.34	2.889103	0.346365	0.137828	0.334951	0.429085	0.33706	0.238495	0.17802	0.0472584	0.209547	0.0905017	0.17137	0.151814	0.0355072	0.0855617	0.338817	0.304514	0.128249	0.228419	0.111043	0.270626	0.0872408	0.0536914	0.455346	0.0220529	0.00979687	0.140726	0.666053	3.18342	2.446998
430	-4083.817	-4085.715	1.898131	0.3374629	0.130741	0.427311	0.59843	0.228601	0.238495	0.186577	0.111891	0.203872	0.203453	0.0715568	0.0628005	0.0620715	0.0202953	0.338817	0.304514	0.128249	0.228419	0.102077	0.273837	0.0882761	0.0527451	0.46075	0.0223146	0.00882009	0.133781	0.653673	3.20373	2.546096
440	-4083.812	-4081.556	-2.256742	0.392087	0.202691	0.635229	0.473972	0.389497	0.234349	0.227314	0.166294	0.219099	0.0970472	0.0933195	0.141081	0.0406583	0.0410328	0.338817	0.304514	0.128249	0.228419	0.103787	0.240656	0.105287	0.0636338	0.468468	0.0181675	0.0155896	0.175821	0.722574	3.08602	2.961583
450	-4079.581	-4080.894	1.313193	0.3701073	0.132382	0.421265	0.373262	0.353975	0.303805	0.160505	0.174083	0.212938	0.184952	0.0804778	0.139278	0.0195896	0.0480758	0.331261	0.288786	0.135411	0.244542	0.105524	0.237222	0.107049	0.0554259	0.476308	0.0184715	0.0126486	0.159099	0.696795	3.13146	2.604589
460	-4081.149	-4082.633	1.484113	0.3510311	0.160371	0.435296	0.454327	0.309071	0.258148	0.197016	0.0832487	0.218977	0.082912	0.181861	0.150708	0.0467213	0.00884166	0.319616	0.29809	0.136245	0.246048	0.103652	0.233014	0.10515	0.0544427	0.461938	0.0418022	0.0103294	0.144357	0.67235	3.17296	2.587497
470	-4081.886	-4082.27	0.3840747	0.3485636	0.177698	0.445252	0.511396	0.274576	0.276582	0.169135	0.101007	0.276127	0.102857	0.216711	0.0869567	0.0429435	0.0162596	0.319616	0.29809	0.136245	0.246048	0.105146	0.232626	0.104975	0.054352	0.461168	0.0417325	0.010046	0.142438	0.669036	3.17848	2.697501
480	-4085.409	-4083.681	-1.72744	0.3801548	0.176307	0.381913	0.636877	0.451222	0.199667	0.197913	0.187572	0.206418	0.122002	0.0951098	0.171489	0.0581897	0.023974	0.317145	0.295786	0.120808	0.266261	0.108656	0.24039	0.0610962	0.0475405	0.499191	0.0431254	0.0139586	0.166783	0.708881	3.11038	2.908653
490	-4084.205	-4080.155	-4.050023	0.3095407	0.164268	0.559596	0.495703	0.420107	0.332303	0.204638	0.147697	0.290506	0.129808	0.248258	0.0639455	0.0562963	0.0277853	0.335903	0.290519	0.118657	0.254921	0.106152	0.277862	0.059688	0.0474316	0.487686	0.0211807	0.0061011	0.111935	0.611483	3.27048	3.140911
500	-4089.36	-4086.929	-2.431658	0.3089391	0.137798	0.591643	0.623987	0.477381	0.266245	0.235069	0.131324	0.0953745	0.141999	0.114457	0.0920911	0.0237334	0.0479716	0.320452	0.325202	0.108872	0.245473	0.0988505	0.25875	0.0723971	0.0441692	0.48256	0.0432724	0.00604841	0.111465	0.610514	3.27197	2.979075
510	-4083.351	-4077.74	-5.610749	0.3429456	0.163366	0.53433	0.581826	0.399796	0.33087	0.207463	0.151525	0.345576	0.215989	0.158039	0.144646	0.0177534	0.0458032	0.329705	0.304649	0.116012	0.249634	0.0779341	0.285335	0.0997139	0.0430435	0.453323	0.0406506	0.00941555	0.138061	0.661355	3.19117	3.296984
520	-4085.235	-4083.122	-2.113094	0.3135868	0.144439	0.503072	0.495646	0.43159	0.254186	0.287283	0.0922662	0.177771	0.226404	0.128316	0.154138	0.0429302	0.00917812	0.33161	0.30161	0.119636	0.247144	0.0917654	0.287473	0.0817576	0.04133	0.456719	0.0409552	0.006462	0.115098	0.61793	3.26051	2.947218
530	-4080.893	-4081.429	0.5362882	0.3708329	0.20051	0.465058	0.523355	0.296779	0.221687	0.139117	0.162528	0.187176	0.219406	0.112338	0.0525944	0.0477648	0.0539665	0.331907	0.291381	0.129347	0.247365	0.0933588	0.212775	0.0831772	0.0420476	0.515897	0.0527447	0.0127412	0.159656	0.697686	3.12992	2.68228
540	-4084.462	-4080.209	-4.252708	0.2749038	0.129092	0.50452	0.638644	0.450422	0.180772	0.237781	0.169586	0.290522	0.254512	0.120704	0.0634015	0.0478899	0.0733333	0.352419	0.306335	0.11717	0.224076	0.064286	0.213237	0.0833577	0.0421389	0.517016	0.0799644	0.00348078	0.0851756	0.551149	3.36019	3.16118
550	-4082.414	-4079.078	-3.335929	0.2908667	0.162223	0.629244	0.6199	0.350815	0.169594	0.21632	0.151876	0.217092	0.202301	0.148134	0.0696416	0.0536294	0.0787311	0.357028	0.293736	0.122229	0.227007	0.0617358	0.244447	0.0800509	0.0404673	0.496507	0.0767922	0.00458374	0.0974115	0.580141	3.31786	3.069502
560	-4083.896	-4084.894	0.9976883	0.3636519	0.138848	0.374022	0.397507	0.285514	0.261211	0.224318	0.157528	0.222295	0.133392	0.144614	0.14686	0.0721002	0.0779302	0.330484	0.306845	0.127684	0.234987	0.0830086	0.25368	0.0875183	0.0544114	0.418129	0.103253	0.0118387	0.154131	0.68875	3.14528	2.63614
570	-4078.499	-4076.651	-1.848126	0.3602972	0.180749	0.455256	0.463424	0.406347	0.260625	0.214287	0.135804	0.258674	0.149588	0.0794142	0.20719	0.0824499	0.0269141	0.334583	0.298246	0.129268	0.237902	0.090876	0.277723	0.0958132	0.0324385	0.457758	0.0453909	0.0114278	0.15154	0.684478	3.15255	2.920721
580	-4081.397	-4081.325	-0.07230917	0.3563904	0.155742	0.403311	0.53947	0.345599	0.275342	0.220383	0.151508	0.227891	0.174457	0.110098	0.0691081	0.0565799	0.0136515	0.317816	0.310592	0.125969	0.245623	0.103833	0.231388	0.0963261	0.0340915	0.516139	0.0182229	0.0109581	0.148516	0.679425	3.1611	2.74314
590	-4080.608	-4075.605	-5.002796	0.3065952	0.194192	0.603064	0.631966	0.443831	0.208482	0.198587	0.152325	0.274659	0.165651	0.126129	0.117425	0.109884	0.00999255	0.336708	0.286962	0.13259	0.24374	0.104805	0.220207	0.0972277	0.0383971	0.52097	0.0183935	0.00584554	0.109635	0.606714	3.27781	3.236188
