Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
306	0	-4091.053	-4080.01	-11.0432	0.5428644	0.107637	0.640675	0.788514	0.481478	0.39278	0.32947	0.160769	0.183324	0.067153	0.170095	0.220408	0.0710278	0.226897	0.079175	0.33312	0.0726847	0.0187179	0.450664	0.0456382	0.2179541	0.31859	0.314714	0.118212	0.248485	0.0415816	0.278981	0.849115	2.83032	3.840229
307	0	-4090.293	-4082.964	-7.329237	0.7083263	0.176325	0.59781	0.557752	0.431956	0.240243	0.184039	0.148953	0.295353	0.159051	0.443715	0.0914829	0.0278168	0.114336	0.0725661	0.209914	0.0858046	0.0451511	0.529152	0.0574126	0.3204075	0.371936	0.291667	0.122649	0.213747	0.0759676	0.367432	0.927915	2.62868	3.468832
308	0	-4085.931	-4079.654	-6.277282	0.8085205	0.148953	0.495005	0.76081	0.38923	0.18646	0.249923	0.207159	0.228131	0.18308	0.178655	0.123362	0.0439036	0.168967	0.0883423	0.243528	0.071183	0.0277647	0.530562	0.0386202	0.3346492	0.320457	0.301014	0.136585	0.241945	0.0973705	0.410542	0.959288	2.5328	3.363637
309	0	-4081.8	-4082.146	0.3461818	0.9886947	0.146488	0.391249	0.454877	0.452047	0.258231	0.192953	0.16598	0.189687	0.0582277	0.104676	0.0818309	0.036079	0.168967	0.0792296	0.256753	0.093252	0.0381292	0.481653	0.0509833	0.2990577	0.362285	0.283246	0.122208	0.232261	0.134693	0.473327	0.998101	2.39388	2.701291
310	0	-4078.378	-4082.222	3.84393	1.009684	0.10992	0.33782	0.404049	0.309303	0.247067	0.211153	0.13049	0.168032	0.165318	0.0285111	0.117778	0.0455941	0.0764796	0.0679298	0.240635	0.13149	0.0474936	0.454218	0.0582329	0.3331139	0.345342	0.29533	0.141956	0.217371	0.138882	0.479643	1.00159	2.37989	2.351516
311	0	-4074.229	-4076.643	2.414208	1.142564	0.155773	0.415912	0.410383	0.366789	0.212883	0.199473	0.138013	0.147913	0.0902447	0.0371816	0.096032	0.0696451	0.154246	0.098066	0.204035	0.129777	0.0245795	0.474148	0.0693956	0.3034131	0.318746	0.31921	0.132741	0.229304	0.16449	0.515775	1.02012	2.29961	2.494488
312	0	-4080.966	-4083.698	2.732374	1.615908	0.148287	0.417264	0.433037	0.441119	0.188415	0.155952	0.109325	0.104895	0.0665007	0.0728096	0.111545	0.0416461	0.171877	0.116657	0.185067	0.138882	0.0370275	0.472501	0.0498655	0.371749	0.323968	0.291589	0.15766	0.226783	0.242685	0.606777	1.05656	2.09398	2.462671
313	0	-4076.715	-4079.351	2.635831	0.9076967	0.110864	0.417264	0.430953	0.383194	0.233701	0.154739	0.157076	0.128693	0.0503953	0.0390024	0.111545	0.0830227	0.171877	0.116936	0.232949	0.0936562	0.0349153	0.473633	0.0479101	0.3474481	0.33108	0.303809	0.123514	0.241596	0.118189	0.447135	0.982847	2.45183	2.472326
314	0	-4076.693	-4079.964	3.271376	1.276219	0.182891	0.453892	0.33759	0.357774	0.179231	0.142432	0.11326	0.188829	0.0546286	0.0389734	0.0926787	0.155271	0.11132	0.0970447	0.223837	0.133747	0.0418846	0.461602	0.0418855	0.34504	0.341142	0.296984	0.132597	0.229277	0.188594	0.54651	1.03405	2.23085	2.408771
315	0	-4083.753	-4082.96	-0.7927898	1.044123	0.155813	0.384891	0.426557	0.419051	0.275168	0.239728	0.0953693	0.35534	0.0226071	0.093338	0.0865528	0.155271	0.105502	0.0674821	0.187137	0.0986994	0.0328072	0.587748	0.0261268	0.34504	0.353725	0.290568	0.134726	0.220981	0.145673	0.489624	1.00694	2.35776	2.815188
316	0	-4079.895	-4075.833	-4.061955	1.168129	0.174982	0.531682	0.568535	0.34392	0.288268	0.176116	0.101492	0.27753	0.0522495	0.093338	0.172752	0.196002	0.165239	0.101964	0.243069	0.0849314	0.0188496	0.494842	0.0563441	0.3279304	0.325317	0.294158	0.144459	0.236066	0.16923	0.522047	1.0231	2.28563	3.142104
317	0	-4084.14	-4086.216	2.075434	1.271927	0.14439	0.497697	0.433265	0.432176	0.270358	0.162028	0.113219	0.214868	0.0413864	0.0164821	0.078479	0.0567579	0.0672589	0.123997	0.275807	0.110932	0.0323773	0.414201	0.0426862	0.3724502	0.315055	0.306129	0.147422	0.231394	0.187846	0.545597	1.03366	2.2329	2.528365
318	0	-4081.755	-4085.275	3.519069	0.5929925	0.160792	0.39321	0.388473	0.288758	0.228565	0.1213	0.160251	0.120811	0.0376585	0.0506855	0.150029	0.122364	0.161106	0.0886951	0.288909	0.0864929	0.0456629	0.417061	0.0731785	0.2636345	0.338189	0.297693	0.121911	0.242207	0.051666	0.308355	0.877701	2.76228	2.384002
319	0	-4081.349	-4081.63	0.2814547	0.7424918	0.172404	0.484868	0.485028	0.321995	0.219328	0.129297	0.103577	0.186737	0.0892739	0.0625278	0.0857857	0.178282	0.188659	0.0889413	0.313538	0.0748824	0.0647413	0.366827	0.0910702	0.2623485	0.338535	0.312538	0.104649	0.244278	0.0832779	0.382908	0.939651	2.59416	2.707763
320	0	-4079.724	-4080.291	0.5668474	0.9256408	0.158827	0.465285	0.390027	0.29117	0.240659	0.133151	0.14793	0.260177	0.049974	0.056279	0.0939206	0.160679	0.231144	0.114311	0.286903	0.0548064	0.0415956	0.449083	0.0533013	0.3458557	0.323388	0.307054	0.12574	0.243818	0.121889	0.453201	0.986497	2.43841	2.679224
321	0	-4075.557	-4076.648	1.09135	1.083813	0.170601	0.393487	0.398691	0.348726	0.242563	0.150744	0.0851111	0.201414	0.0649368	0.0566774	0.207504	0.144994	0.161325	0.117153	0.206652	0.0839264	0.0470439	0.484974	0.0602515	0.3362594	0.336909	0.293131	0.135135	0.234825	0.153367	0.500571	1.01261	2.33345	2.626774
322	0	-4082.827	-4083.937	1.109536	0.6619639	0.121025	0.489486	0.432571	0.426489	0.26718	0.16393	0.0741246	0.139076	0.030105	0.0757439	0.138745	0.173411	0.0930686	0.111573	0.192572	0.0874679	0.0134927	0.532555	0.0623382	0.2956161	0.311652	0.309535	0.152812	0.226001	0.0660897	0.345017	0.909915	2.67898	2.624955
323	0	-4080.161	-4079.031	-1.130028	1.253923	0.121025	0.474025	0.525453	0.370043	0.186302	0.194654	0.135336	0.258574	0.0703487	0.0347725	0.138745	0.14814	0.191494	0.113742	0.222911	0.0817572	0.0412568	0.483747	0.0565859	0.3362606	0.327036	0.282812	0.143439	0.246713	0.184689	0.541717	1.03198	2.24161	2.848912
324	0	-4079.344	-4080.597	1.252884	1.214424	0.113529	0.519372	0.477623	0.315639	0.179018	0.213935	0.146974	0.202569	0.0588135	0.0729427	0.0720934	0.0866399	0.151471	0.127991	0.253445	0.0886879	0.0329589	0.456068	0.0408496	0.3673904	0.324741	0.271766	0.142432	0.261062	0.177657	0.532913	1.02809	2.26134	2.61062
325	0	-4078.098	-4076.936	-1.162311	1.629868	0.152478	0.430116	0.520849	0.401869	0.253986	0.193397	0.118883	0.168718	0.067472	0.124597	0.119952	0.204725	0.0950999	0.106288	0.241632	0.0945604	0.0546632	0.461837	0.0410193	0.3461621	0.322134	0.306981	0.130798	0.240087	0.244705	0.608836	1.05722	2.08924	2.85214
326	0	-4083.017	-4080.557	-2.460515	1.279972	0.151523	0.532965	0.469272	0.279477	0.200609	0.248263	0.1816	0.337235	0.0619844	0.111879	0.173203	0.206739	0.0272116	0.103076	0.18865	0.0859217	0.0470709	0.51098	0.0643013	0.3656633	0.335553	0.282322	0.142926	0.239199	0.189247	0.547304	1.03439	2.22906	2.98196
327	0	-4082.071	-4082.596	0.524799	0.746825	0.12014	0.549704	0.538186	0.399972	0.175583	0.167808	0.146806	0.180292	0.0945039	0.0988688	0.0739201	0.108903	0.0287419	0.10816	0.20486	0.0741672	0.0463232	0.475764	0.0907253	0.2995562	0.312558	0.290065	0.149237	0.24814	0.0842052	0.384811	0.941057	2.58993	2.683429
328	0	-4076.679	-4078.037	1.358154	0.881238	0.126513	0.454867	0.456266	0.259513	0.184344	0.207991	0.168132	0.239694	0.0602748	0.0888232	0.148354	0.155432	0.0498897	0.101577	0.267383	0.101248	0.0470474	0.42293	0.0598134	0.2882618	0.327561	0.31796	0.124974	0.229505	0.112692	0.437896	0.977152	2.47226	2.600093
329	0	-4076.788	-4077.678	0.8902938	1.05452	0.102088	0.464608	0.484249	0.403791	0.177469	0.217615	0.152672	0.195217	0.023252	0.11257	0.0989504	0.12169	0.0927086	0.123177	0.189546	0.0993788	0.0162952	0.526037	0.0455671	0.3312557	0.332543	0.285107	0.14031	0.242039	0.147702	0.492547	1.00848	2.35127	2.646879
330	0	-4075.588	-4076.257	0.6692068	0.7480042	0.159822	0.444345	0.478739	0.409473	0.225279	0.221288	0.125773	0.20744	0.06212	0.0741592	0.0348398	0.190926	0.0347847	0.117599	0.203552	0.116403	0.0390468	0.500254	0.0231456	0.2670344	0.346866	0.286467	0.131263	0.235404	0.0844575	0.385326	0.941436	2.58878	2.668988
331	0	-4083.304	-4082.192	-1.112412	0.8153583	0.189216	0.498038	0.497013	0.389297	0.25783	0.14894	0.125242	0.355407	0.0889085	0.0565599	0.0387828	0.186047	0.0158674	0.106189	0.286464	0.0747079	0.0708616	0.41334	0.0484369	0.272055	0.342717	0.307434	0.124753	0.225096	0.0988224	0.413245	0.961121	2.52681	2.84715
332	0	-4078.747	-4081.078	2.330559	1.133812	0.135957	0.4064	0.402583	0.422613	0.198247	0.206954	0.113946	0.189795	0.0409016	0.0971351	0.116253	0.132744	0.0393219	0.121183	0.221835	0.0817085	0.0403403	0.442005	0.0929282	0.3816778	0.33368	0.308824	0.122624	0.234872	0.162854	0.513582	1.01906	2.3045	2.502853
333	0	-4083.134	-4084.581	1.446904	1.153965	0.110022	0.408467	0.492064	0.369575	0.24126	0.206954	0.125702	0.220028	0.0399992	0.137025	0.103595	0.0870884	0.049437	0.105654	0.228832	0.0747253	0.088748	0.451267	0.0507732	0.3321386	0.345949	0.275681	0.132968	0.245401	0.166611	0.518597	1.02147	2.29332	2.591218
334	0	-4083.115	-4077.077	-6.038777	0.8913181	0.178131	0.613733	0.683959	0.441867	0.244477	0.174021	0.176137	0.226043	0.0205093	0.0912177	0.167984	0.25987	0.0618362	0.0726348	0.26789	0.0675907	0.0442757	0.485314	0.0622943	0.3457093	0.355467	0.285998	0.112713	0.245822	0.114792	0.441458	0.979367	2.46438	3.339786
335	0	-4083.64	-4081.458	-2.181457	0.8954707	0.135746	0.609922	0.568466	0.345875	0.239851	0.173158	0.207766	0.145656	0.0654874	0.102076	0.0348809	0.293628	0.0315421	0.0975492	0.284212	0.10245	0.0676348	0.407566	0.0405887	0.3182957	0.315544	0.307625	0.128789	0.248042	0.115655	0.44291	0.980264	2.46117	2.954054
336	0	-4078.711	-4082.899	4.187742	1.031785	0.160517	0.448433	0.414045	0.304631	0.123548	0.132679	0.132392	0.185617	0.0840034	0.0542571	0.0589017	0.12064	0.0974706	0.104494	0.19639	0.137165	0.0408746	0.485808	0.0352676	0.2586163	0.31422	0.29825	0.161325	0.226205	0.143252	0.486101	1.00507	2.36557	2.317135
337	0	-4081.757	-4080.65	-1.106144	1.23925	0.153199	0.423106	0.417403	0.495711	0.226007	0.191889	0.1147	0.116048	0.0554145	0.0520995	0.154465	0.265388	0.181094	0.0999578	0.223016	0.0776855	0.0355246	0.527918	0.0358983	0.3482949	0.357402	0.276626	0.128602	0.23737	0.182094	0.538495	1.03058	2.24884	2.846523
338	0	-4085.264	-4082.13	-3.133557	1.060926	0.182485	0.695798	0.516094	0.33157	0.226007	0.213106	0.106269	0.252907	0.0531772	0.0719452	0.0231873	0.304831	0.0718867	0.0956643	0.221383	0.0788614	0.0508898	0.526316	0.0268848	0.3443954	0.359655	0.27837	0.114908	0.247068	0.148948	0.494328	1.0094	2.34732	3.049264
339	0	-4082.004	-4080.204	-1.799467	1.013409	0.209992	0.480518	0.478454	0.298804	0.252482	0.244107	0.168798	0.319487	0.0945506	0.0590397	0.0379144	0.241811	0.0298967	0.0925221	0.278002	0.0933059	0.0381959	0.449041	0.0489337	0.3676702	0.357998	0.285944	0.120033	0.236025	0.139622	0.480745	1.00219	2.37745	2.915855
340	0	-4080.926	-4073.945	-6.980903	0.8006308	0.149801	0.685353	0.635206	0.418474	0.332538	0.205175	0.131632	0.267755	0.12063	0.071214	0.130938	0.156485	0.128797	0.0592653	0.216683	0.124347	0.0549972	0.527496	0.0172113	0.2842687	0.341579	0.311346	0.125614	0.22146	0.095693	0.407388	0.95713	2.53979	3.433999
341	0	-4087.023	-4078.551	-8.47175	0.5062036	0.172975	0.665905	0.722302	0.473053	0.250739	0.256006	0.114703	0.213097	0.0460142	0.0563426	0.208451	0.268174	0.13532	0.0334561	0.203332	0.123208	0.0625592	0.567849	0.00959559	0.2629614	0.362782	0.300233	0.119189	0.217797	0.0345432	0.255946	0.82473	2.88478	3.583084
342	0	-4091.552	-4085.486	-6.066393	0.6869321	0.179136	0.62246	0.618268	0.480033	0.20567	0.203722	0.202384	0.302175	0.153629	0.0262672	0.0947021	0.130972	0.12313	0.0362993	0.38851	0.103032	0.0836451	0.367387	0.0211269	0.2977437	0.318639	0.321302	0.0953225	0.264737	0.0713994	0.357299	0.919928	2.65137	3.342548
343	0	-4083.819	-4080.681	-3.137778	1.268858	0.139444	0.639652	0.529091	0.304163	0.220687	0.232857	0.144028	0.294291	0.131491	0.0325346	0.092026	0.2149	0.0745214	0.0695847	0.256798	0.0944261	0.0698194	0.455952	0.0534191	0.4091127	0.350383	0.308588	0.104708	0.236321	0.18731	0.544941	1.03338	2.23437	3.049686
344	0	-4081.779	-4079.805	-1.974261	0.8064497	0.16994	0.535469	0.491064	0.398999	0.251026	0.19219	0.147076	0.170954	0.131491	0.041524	0.122332	0.243225	0.038044	0.110325	0.316339	0.0532542	0.0664058	0.406322	0.0473542	0.3257793	0.342953	0.31221	0.104574	0.240263	0.0969304	0.409718	0.958726	2.53463	2.933335
345	0	-4078.374	-4077.943	-0.4303989	0.655507	0.139222	0.470951	0.432656	0.387519	0.265781	0.215382	0.186423	0.252871	0.112931	0.0556405	0.059482	0.188861	0.0112294	0.0987363	0.297326	0.0845883	0.0430369	0.443746	0.0325664	0.2435446	0.333598	0.279947	0.121215	0.265239	0.064722	0.341758	0.907195	2.68632	2.778949
346	0	-4077.513	-4079.816	2.303171	1.393069	0.140043	0.336984	0.481574	0.319859	0.200087	0.194758	0.152472	0.252871	0.0818567	0.0532407	0.131801	0.155559	0.00448824	0.0902562	0.244256	0.108674	0.0399851	0.438944	0.0778835	0.3492896	0.311262	0.322414	0.127982	0.238342	0.208321	0.569733	1.04347	2.17847	2.505592
347	0	-4077.914	-4076.443	-1.471058	0.7330526	0.193733	0.518506	0.485528	0.427716	0.25135	0.176302	0.194647	0.214113	0.079881	0.0734647	0.0600861	0.20651	0.00117657	0.0861658	0.196514	0.0894735	0.0505367	0.509745	0.0675644	0.3068194	0.353578	0.291079	0.130926	0.224417	0.0812576	0.378717	0.936527	2.6035	2.883015
348	0	-4083.825	-4080.283	-3.54196	0.6820658	0.156693	0.698448	0.459068	0.408563	0.282617	0.189811	0.147106	0.195604	0.194086	0.116965	0.00754603	0.228042	0.00555539	0.064508	0.230605	0.098129	0.0311844	0.514545	0.0610291	0.3296421	0.359071	0.314454	0.111641	0.214834	0.0703624	0.354944	0.918037	2.65666	3.090105
349	0	-4084.007	-4082.283	-1.72456	0.8571734	0.188319	0.620844	0.559803	0.36101	0.248281	0.210422	0.170317	0.235569	0.0698246	0.0397918	0.00656033	0.179516	0.0181052	0.0681781	0.239181	0.115906	0.0385195	0.455455	0.0827593	0.3296421	0.340927	0.302686	0.111406	0.24498	0.107654	0.429173	0.97162	2.49155	2.908365
350	0	-4082.093	-4076.652	-5.440738	0.6925017	0.181262	0.646408	0.531199	0.533981	0.213956	0.260126	0.15158	0.268522	0.0808933	0.0362955	0.0100431	0.169707	0.19601	0.0629605	0.224226	0.107665	0.0433716	0.523723	0.0380534	0.2771619	0.348813	0.303757	0.126618	0.220812	0.0725874	0.359971	0.922058	2.64538	3.279983
351	0	-4082.792	-4082.011	-0.7812297	0.7554397	0.15471	0.435154	0.504122	0.382125	0.218364	0.216018	0.143074	0.327624	0.0597925	0.098862	0.000721382	0.195299	0.0781653	0.0998274	0.255818	0.127506	0.0419547	0.4546	0.020294	0.2438365	0.340242	0.31395	0.119806	0.226001	0.0860482	0.388555	0.9438	2.5816	2.814032
352	0	-4086.162	-4086.71	0.54759	1.117888	0.154577	0.486301	0.510826	0.29485	0.167417	0.167391	0.155354	0.253798	0.0423653	0.0442209	0.00190878	0.164312	0.237826	0.122852	0.249286	0.11273	0.0450865	0.452192	0.0178536	0.3296994	0.320159	0.318309	0.133115	0.228417	0.159857	0.509528	1.01708	2.31353	2.68115
353	0	-4077.833	-4075.643	-2.190331	1.131919	0.153989	0.530174	0.557404	0.434734	0.201865	0.193931	0.140747	0.277136	0.0423653	0.0675267	0.00373536	0.252338	0.0989956	0.084922	0.262979	0.106743	0.050136	0.459814	0.0354069	0.3452132	0.311822	0.310635	0.132056	0.245487	0.162499	0.513104	1.01883	2.30557	2.954942
354	0	-4078.977	-4079.54	0.5631133	0.678961	0.149105	0.38504	0.382384	0.415938	0.328197	0.192444	0.0995173	0.251155	0.0316437	0.0612778	0.110914	0.180114	0.0918695	0.0811199	0.28204	0.0973093	0.044784	0.459164	0.0355828	0.3130651	0.32849	0.303974	0.126554	0.240983	0.0697012	0.353432	0.916815	2.66005	2.679597
355	0	-4077.297	-4080.804	3.507457	1.249881	0.130547	0.415785	0.373219	0.276658	0.164232	0.192195	0.141229	0.187966	0.0335138	0.0915539	0.174109	0.142234	0.0619212	0.0810865	0.214009	0.125027	0.0314554	0.469715	0.0787074	0.3114425	0.342698	0.30415	0.137241	0.215911	0.183976	0.540835	1.0316	2.24359	2.385163
356	0	-4077.8	-4076.835	-0.9653209	0.751875	0.102304	0.527266	0.47723	0.397278	0.239794	0.247293	0.166813	0.157397	0.0253766	0.121334	0.115594	0.174924	0.0798377	0.084578	0.222202	0.10746	0.0258731	0.48994	0.0699469	0.2539702	0.335447	0.316312	0.12882	0.219421	0.0852857	0.387012	0.942673	2.58503	2.832441
357	0	-4082.272	-4081.321	-0.9503604	0.8164106	0.164755	0.446183	0.512159	0.371656	0.170039	0.18505	0.158108	0.312033	0.035496	0.143449	0.103586	0.184957	0.0434742	0.0759499	0.262354	0.107819	0.0118264	0.50284	0.0392103	0.296196	0.324199	0.320714	0.124226	0.23086	0.0990457	0.413658	0.9614	2.5259	2.830945
358	0	-4075.308	-4075.806	0.4981988	0.8384284	0.136032	0.414447	0.531758	0.376255	0.241785	0.176707	0.158108	0.170718	0.0655052	0.0349099	0.035604	0.206883	0.137376	0.0899256	0.194775	0.107272	0.027292	0.535827	0.044908	0.304342	0.343515	0.288501	0.14274	0.225244	0.103706	0.422157	0.967059	2.50708	2.686089
359	0	-4081.019	-4080.903	-0.1166544	0.5319068	0.140843	0.5364	0.414008	0.39179	0.234884	0.213649	0.161726	0.258749	0.0872985	0.0318508	0.0410661	0.081351	0.153958	0.1215	0.182292	0.105805	0.0293352	0.500267	0.0608003	0.161272	0.332901	0.290986	0.136228	0.239885	0.0394431	0.272236	0.842165	2.84616	2.747574
360	0	-4084.759	-4081.399	-3.360627	0.7457046	0.106282	0.602351	0.635267	0.398971	0.160389	0.220183	0.136044	0.204392	0.10418	0.0531984	0.0977915	0.22768	0.125241	0.132723	0.191758	0.0753592	0.0249024	0.55472	0.020538	0.3296746	0.318614	0.289771	0.150048	0.241567	0.0839654	0.38432	0.940695	2.59102	3.071971
361	0	-4084.472	-4082.433	-2.038218	0.7409145	0.15133	0.454662	0.637259	0.394099	0.22066	0.177309	0.168614	0.376583	0.0496296	0.0600674	0.0475632	0.124121	0.0778349	0.12479	0.240981	0.0637238	0.0264578	0.490266	0.0537808	0.3087299	0.321987	0.286517	0.143223	0.248273	0.0829403	0.382212	0.939135	2.59571	2.939731
362	0	-4082.354	-4080.835	-1.518791	0.9673187	0.151348	0.367777	0.503748	0.455337	0.253949	0.163791	0.197462	0.2168	0.0356994	0.0993624	0.175367	0.2026	0.0645446	0.0967472	0.211734	0.109908	0.053102	0.501385	0.0271241	0.3144272	0.32107	0.316871	0.13888	0.223179	0.130388	0.466703	0.994366	2.40854	2.887788
363	0	-4074.528	-4076	1.472	0.970488	0.131636	0.384415	0.473	0.404455	0.225279	0.200295	0.120832	0.218757	0.0266723	0.113969	0.109595	0.150061	0.029743	0.105062	0.187389	0.0972704	0.0222925	0.535609	0.0523772	0.3028296	0.33741	0.28318	0.140541	0.238869	0.131028	0.467698	0.994933	2.40634	2.588709
364	0	-4079.83	-4075.673	-4.157171	0.754657	0.153617	0.621264	0.607394	0.562783	0.202055	0.222	0.152328	0.209301	0.0555905	0.0861283	0.0630078	0.16459	0.051567	0.0848123	0.198346	0.110291	0.00813458	0.561544	0.0368723	0.2637828	0.326155	0.297378	0.145565	0.230901	0.0858808	0.388217	0.943553	2.58235	3.151626
365	0	-4083.14	-4083.138	-0.002644254	1.644077	0.171509	0.4984	0.369022	0.460813	0.247261	0.145727	0.128007	0.248108	0.00771733	0.0658703	0.0676327	0.167671	0.158434	0.0969554	0.205377	0.0802752	0.0111118	0.526226	0.0800542	0.3930778	0.301832	0.327921	0.141845	0.228402	0.246746	0.610904	1.05787	2.08448	2.736173
366	0	-4075.976	-4075.631	-0.3443375	1.357595	0.162107	0.421704	0.446335	0.474519	0.198839	0.188591	0.175667	0.197472	0.0300139	0.137983	0.0968471	0.162859	0.0774054	0.0909733	0.203658	0.10316	0.0273312	0.496105	0.078772	0.3655209	0.34163	0.301236	0.135253	0.221882	0.202462	0.562999	1.04084	2.1937	2.770342
367	0	-4078.311	-4080.038	1.727645	0.8739487	0.12851	0.510959	0.401209	0.208747	0.231482	0.212	0.148638	0.271335	0.0665463	0.0807058	0.0766195	0.188786	0.0376068	0.0848209	0.223397	0.104811	0.0444418	0.496448	0.0460806	0.2951711	0.332132	0.305494	0.134897	0.227478	0.11117	0.435286	0.975513	2.47803	2.563144
368	0	-4078.56	-4077.344	-1.215346	0.6770077	0.131714	0.50921	0.524274	0.362392	0.253146	0.192647	0.136182	0.312138	0.0670529	0.0871296	0.0410286	0.160658	0.0798703	0.0766147	0.227435	0.106825	0.0242523	0.505989	0.058884	0.2386462	0.341773	0.303565	0.125452	0.22921	0.0692854	0.352477	0.916041	2.6622	2.857443
369	0	-4077.265	-4079.937	2.672241	0.5484615	0.142484	0.439577	0.390678	0.338432	0.223472	0.225808	0.0879288	0.205673	0.0612083	0.0613307	0.0885546	0.16934	0.0341985	0.108675	0.217988	0.135607	0.0261096	0.450111	0.0615094	0.1096197	0.321066	0.297869	0.139756	0.241309	0.0426842	0.282381	0.852562	2.82237	2.468685
370	0	-4078.35	-4079.067	0.7164571	0.4478592	0.146765	0.504166	0.47289	0.437919	0.177795	0.155959	0.105347	0.240284	0.0479643	0.0876606	0.0599184	0.16934	0.0582554	0.0880786	0.241579	0.115015	0.0261447	0.468333	0.0608491	0.125464	0.318872	0.294815	0.134206	0.252107	0.0241806	0.216521	0.778281	2.98102	2.664263
371	0	-4083.075	-4082.85	-0.2245566	0.4710298	0.113248	0.440487	0.57141	0.317793	0.185585	0.185794	0.145943	0.266485	0.0370418	0.0836162	0.043119	0.266984	0.100859	0.12648	0.317122	0.0868022	0.0273405	0.400843	0.0414118	0.1308303	0.33251	0.277733	0.133036	0.256721	0.0281522	0.232583	0.797988	2.94128	2.758364
372	0	-4081.825	-4085.082	3.256677	1.831757	0.150699	0.451051	0.377474	0.239759	0.219125	0.212455	0.132096	0.274862	0.014465	0.12384	0.0952309	0.0939544	0.0252297	0.122633	0.288758	0.0967755	0.0235612	0.388648	0.0796244	0.3828859	0.303071	0.316257	0.127365	0.253307	0.272329	0.635841	1.06515	2.02668	2.410241
373	0	-4080.994	-4084.04	3.045613	1.560407	0.126423	0.47398	0.372273	0.307676	0.175023	0.171542	0.128028	0.154514	0.0204465	0.12384	0.135849	0.199746	0.0420053	0.0990404	0.220908	0.101432	0.0192678	0.454859	0.104493	0.3956221	0.314262	0.313506	0.132067	0.240165	0.234505	0.598312	1.05378	2.1134	2.431347
374	0	-4085.865	-4085.626	-0.2390296	1.084836	0.176278	0.387457	0.481339	0.394337	0.329379	0.176316	0.128028	0.225535	0.0472842	0.100677	0.0409593	0.229487	0.042734	0.0897293	0.20372	0.126841	0.0159927	0.463793	0.0999233	0.3238009	0.322884	0.287664	0.155158	0.234294	0.153563	0.500846	1.01275	2.33284	2.759812
375	0	-4079.746	-4079.283	-0.463178	1.486768	0.130564	0.504392	0.539208	0.333668	0.157507	0.218269	0.107169	0.261659	0.110279	0.0397203	0.0840044	0.189852	0.105936	0.0902935	0.193635	0.127849	0.0204861	0.505302	0.0624351	0.3752218	0.319806	0.296191	0.138987	0.245015	0.223271	0.586339	1.04964	2.14075	2.782227
376	0	-4086.747	-4084.214	-2.532911	1.867942	0.199228	0.535764	0.631098	0.456023	0.241725	0.16331	0.117292	0.198692	0.110279	0.0543434	0.128282	0.111679	0.0414847	0.0786502	0.200782	0.122296	0.0212422	0.525569	0.0514609	0.3829997	0.309171	0.320928	0.143685	0.226217	0.276984	0.640194	1.0663	2.01652	2.9892
377	0	-4079.827	-4077.527	-2.299315	0.9699957	0.166991	0.439016	0.51603	0.446737	0.297652	0.129039	0.108044	0.304511	0.0461769	0.128118	0.0958555	0.220421	0.0672479	0.0778491	0.177664	0.0712817	0.0440236	0.584459	0.0447224	0.3278271	0.345703	0.306873	0.12815	0.219273	0.130929	0.467544	0.994845	2.40668	2.96584
378	0	-4084.841	-4078.393	-6.447454	1.021238	0.105538	0.579787	0.629448	0.48545	0.302544	0.21862	0.123675	0.269063	0.0536416	0.14576	0.0238008	0.341004	0.102322	0.0746164	0.221707	0.091236	0.0153108	0.55733	0.0398004	0.3817559	0.359686	0.288888	0.131146	0.22028	0.141172	0.483044	1.00343	2.37235	3.380654
379	0	-4085.1	-4079.939	-5.161682	0.9775977	0.220031	0.492798	0.639968	0.542051	0.245473	0.255574	0.116734	0.239241	0.0429457	0.0983651	0.0826343	0.255179	0.0210835	0.0777825	0.307743	0.0963753	0.0475623	0.424226	0.0463106	0.3485982	0.340496	0.289243	0.118275	0.251986	0.132463	0.469913	0.996187	2.40144	3.252077
380	0	-4084.124	-4080.536	-3.58795	0.8812423	0.152167	0.653977	0.524882	0.366324	0.25323	0.145789	0.0834191	0.337907	0.154229	0.045506	0.114141	0.179589	0.0835439	0.0690234	0.256873	0.151534	0.0190188	0.454013	0.0495382	0.3149205	0.343847	0.305679	0.127977	0.222497	0.112693	0.437897	0.977152	2.47226	3.094704
381	0	-4084.243	-4083.295	-0.9480967	1.182161	0.149175	0.541839	0.501302	0.366324	0.236964	0.203254	0.16163	0.232011	0.149318	0.0688114	0.0686657	0.0975326	0.0538929	0.0655373	0.202008	0.127237	0.0435641	0.519447	0.042206	0.3025039	0.34724	0.287239	0.132266	0.233255	0.171805	0.525405	1.02466	2.27813	2.830718
382	0	-4082.831	-4082.926	0.09534271	0.927165	0.149175	0.392772	0.510211	0.364684	0.229092	0.210996	0.16129	0.204715	0.256371	0.00947163	0.0980565	0.081664	0.0578772	0.0770577	0.160056	0.117526	0.0360793	0.549207	0.0600736	0.3013394	0.343978	0.296576	0.156784	0.202662	0.122202	0.453709	0.986799	2.43729	2.726374
