Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
270	-4082.849	-4075.116	-7.732707	0.3168776	0.171459	0.72257	0.707582	0.42742	0.29181	0.237396	0.133726	0.254278	0.0739329	0.0653762	0.0635994	0.06512	0.29491	0.0524448	0.218526	0.123352	0.033464	0.537511	0.0347016	0.352381	0.295699	0.1314	0.22052	0.00676389	0.117672	0.623087	3.25248	3.509179
280	-4087.515	-4082.678	-4.83627	0.3179081	0.132726	0.562318	0.559969	0.479312	0.27936	0.307723	0.169292	0.183888	0.177446	0.0335337	0.0559	0.0396348	0.238434	0.0562312	0.211735	0.0906468	0.0374861	0.528526	0.0753746	0.375096	0.283985	0.125095	0.215824	0.00685996	0.118479	0.624687	3.24997	3.219536
290	-4084.667	-4085.118	0.4501343	0.3530469	0.232805	0.442562	0.435138	0.367153	0.176753	0.212516	0.103746	0.285106	0.139574	0.0123441	0.0731953	0.0708011	0.139203	0.0878949	0.206819	0.099182	0.0345582	0.523608	0.0479377	0.351061	0.291257	0.130848	0.226834	0.0105638	0.145923	0.675031	3.16848	2.690895
300	-4083.942	-4080.836	-3.10633	0.3837601	0.141132	0.517371	0.471883	0.378385	0.289463	0.211911	0.200396	0.312913	0.132795	0.104104	0.0482681	0.0147992	0.223121	0.0861107	0.233632	0.0857996	0.0593926	0.484693	0.0503721	0.321654	0.313092	0.121774	0.24348	0.0144429	0.169524	0.713092	3.10294	3.046542
310	-4084.095	-4081.046	-3.048765	0.3297817	0.168721	0.626311	0.456011	0.424233	0.20362	0.182349	0.180579	0.153247	0.166924	0.102232	0.128962	0.0052558	0.242341	0.106716	0.271157	0.0906594	0.0628293	0.453502	0.0151362	0.328327	0.294197	0.127242	0.250234	0.00801935	0.127774	0.642589	3.22162	3.040785
320	-4089.821	-4088.31	-1.51078	0.4209276	0.153444	0.49805	0.553484	0.457582	0.276346	0.204796	0.101013	0.218911	0.0651658	0.102232	0.157281	0.0263226	0.0723601	0.130069	0.254859	0.0900041	0.0667437	0.446885	0.0114387	0.323503	0.285089	0.15647	0.234937	0.0198457	0.197209	0.752968	3.02998	2.886987
330	-4080.016	-4079.301	-0.7150382	0.3430631	0.157977	0.49805	0.45487	0.473617	0.259984	0.184366	0.145295	0.216357	0.0667147	0.115823	0.0600878	0.0284614	0.145808	0.11297	0.237429	0.0675961	0.0513526	0.503962	0.0266898	0.325159	0.272039	0.145459	0.257344	0.00942853	0.138153	0.661518	3.1909	2.807413
340	-4081.213	-4079.836	-1.376982	0.3325326	0.163441	0.500665	0.480013	0.34425	0.211184	0.217513	0.17409	0.3549	0.110197	0.0456619	0.101962	0.0275988	0.14213	0.122676	0.275418	0.0637421	0.0403143	0.457145	0.0407044	0.332028	0.286631	0.123897	0.257444	0.00830158	0.129926	0.646602	3.21517	2.873607
350	-4089.62	-4089.808	0.1877434	0.4288699	0.109395	0.437801	0.540013	0.443443	0.131057	0.240368	0.152041	0.145821	0.0932102	0.0413172	0.140347	0.0844948	0.157827	0.112564	0.297816	0.0873848	0.0544299	0.419463	0.0283436	0.319251	0.308429	0.11754	0.254779	0.0210901	0.202974	0.760722	3.01521	2.717134
360	-4083.137	-4084.221	1.084088	0.3737505	0.148844	0.439601	0.512209	0.357534	0.191337	0.219069	0.153061	0.209532	0.0932102	0.137273	0.0626368	0.0122452	0.0909488	0.130058	0.297754	0.0746462	0.0484915	0.397131	0.0519195	0.306907	0.318793	0.113183	0.261117	0.0131168	0.161893	0.701238	3.12375	2.6275
370	-4086.105	-4085.397	-0.7078165	0.3561203	0.114642	0.535519	0.490604	0.325361	0.241375	0.188638	0.162072	0.225594	0.119191	0.0548172	0.171317	0.0557142	0.121846	0.078781	0.344365	0.0735037	0.0314852	0.409728	0.062137	0.352179	0.284327	0.12402	0.239473	0.010926	0.148307	0.679072	3.1617	2.80669
380	-4091.791	-4092.04	0.2491931	0.3872564	0.139813	0.383749	0.454908	0.331532	0.323634	0.282002	0.0452336	0.218923	0.103067	0.0911075	0.022771	0.0735425	0.240708	0.0873447	0.229362	0.112008	0.0246608	0.465845	0.0807794	0.326216	0.305211	0.139622	0.228951	0.0149197	0.172174	0.717114	3.09579	2.710989
390	-4080.249	-4081.049	0.7996858	0.3841636	0.150591	0.408736	0.542378	0.391491	0.223769	0.181636	0.0951382	0.205343	0.141146	0.0279958	0.0671457	0.024822	0.195749	0.102712	0.265425	0.095961	0.0413787	0.450649	0.0438735	0.314599	0.310324	0.11967	0.255407	0.0144976	0.16983	0.713559	3.10211	2.65594
400	-4085.398	-4083.957	-1.440118	0.3335781	0.17488	0.556869	0.496995	0.390181	0.302587	0.226595	0.115199	0.197431	0.130211	0.00923967	0.0528889	0.0650888	0.161757	0.101863	0.232755	0.064038	0.0536339	0.512229	0.0354808	0.350789	0.293996	0.115457	0.239758	0.00841019	0.130744	0.648115	3.21273	2.879921
