Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	TL
200	-32350.02	-32422.27	72.25209	0.187315	0.0825883	0.032223	0.0388094	0.122061	0.158615	0.0525894	0.0570548	0.0248422	0.0398148	0.131213	0.0741448	0.07592	0.130486	0.0128889	0.0114516	0.0960047	0.183579	0.0591799	0.0441514	0.111432	0.125119	0.0315353	0.0226692	0.290665	0.201638	0.0372324	0.17036	0.0533796	0.216876	0.0571262	0.0740039	0.0751947	0.0894292	0.063524	0.000314267	0.0110029	0.00480933	0.114486	0.0388364	0.119562	0.0434633	0.0348369	0.0797136	0.0692978	0.00415472	0.0518451	0.0197608	3.827199
210	-32342.72	-32414.5	71.7766	0.206786	0.0687918	0.0481021	0.0356254	0.141353	0.167624	0.0537567	0.0583467	0.033015	0.0385839	0.143438	0.0747071	0.072787	0.128761	0.00922676	0.0136433	0.0945418	0.212071	0.0596479	0.055576	0.1127	0.105041	0.0291667	0.0255113	0.311505	0.18163	0.026224	0.147244	0.0596422	0.226081	0.0391693	0.0839596	0.073752	0.0716322	0.0572126	0.00283789	0.0126947	0.00605362	0.112881	0.0290275	0.12347	0.0427781	0.0513868	0.0729701	0.0829384	0.00475098	0.0499587	0.0161453	3.874749
220	-32347.56	-32418.61	71.05564	0.186052	0.0682371	0.0316278	0.0341238	0.155044	0.186557	0.0575712	0.0660601	0.0369249	0.0482361	0.152603	0.0717062	0.0721028	0.0910443	0.00386646	0.0148076	0.0935971	0.223234	0.0502399	0.0509783	0.128031	0.123428	0.0415912	0.0297213	0.293919	0.22471	0.0160057	0.140272	0.0500518	0.224511	0.0461	0.0975639	0.0862251	0.0966102	0.0517414	0.00408885	0.012285	0.00156556	0.12245	0.0362096	0.117316	0.0573961	0.04471	0.0824884	0.0661602	0.000406709	0.0381398	0.0185329	3.946844
230	-32337.81	-32408.98	71.17191	0.193144	0.0779726	0.0433731	0.0330898	0.161203	0.163484	0.0544319	0.0536915	0.0261724	0.0422827	0.14234	0.0686171	0.0836369	0.108899	0.0111714	0.0159203	0.104862	0.20861	0.0475731	0.0527407	0.112679	0.127678	0.0416078	0.0363851	0.315987	0.209405	0.0154916	0.15216	0.04742	0.228074	0.0362232	0.0815436	0.0902942	0.073667	0.0663792	0.000742794	0.0207334	0.00747028	0.120544	0.0321645	0.108402	0.0483572	0.0434418	0.0714748	0.0711475	0.00864455	0.0469266	0.0269574	3.935217
240	-32333.17	-32404.12	70.9529	0.19716	0.0689552	0.0323036	0.0378676	0.138573	0.163179	0.0708997	0.0610306	0.0371363	0.0439439	0.139599	0.0852265	0.0771551	0.104982	0.00804914	0.0109693	0.0891521	0.217969	0.0548401	0.0428692	0.101212	0.115778	0.0355224	0.0304432	0.337047	0.207312	0.0313949	0.162096	0.0564635	0.23188	0.0388082	0.0781141	0.0931567	0.0835612	0.0600444	0.000362619	0.0120017	0.0100531	0.116657	0.0360748	0.124056	0.0401993	0.0423896	0.0786422	0.0794207	0.00751171	0.0462629	0.0187923	3.957118
250	-32332.82	-32404.74	71.9192	0.189428	0.0742304	0.0315165	0.0344851	0.138911	0.151168	0.0633175	0.059658	0.0225838	0.0389063	0.137704	0.062267	0.0768343	0.0968851	0.00659953	0.00893057	0.0877098	0.224469	0.055581	0.0549461	0.114762	0.114187	0.0329446	0.0355399	0.302795	0.197598	0.0355638	0.149719	0.0590316	0.20481	0.0400661	0.0875611	0.0889952	0.0836397	0.0686898	0.00176449	0.0123804	0.00835263	0.108432	0.043505	0.127386	0.0492493	0.0439611	0.0842018	0.0830949	0.000987064	0.041249	0.0238921	3.860489
260	-32345.75	-32417.61	71.85531	0.179212	0.070924	0.0364413	0.0344141	0.144061	0.159371	0.047209	0.055568	0.041162	0.0491081	0.134366	0.0525826	0.0730938	0.0987106	0.0110025	0.011756	0.100008	0.218368	0.0602204	0.0498926	0.107522	0.114239	0.0233919	0.031513	0.312828	0.208234	0.027401	0.155387	0.0485048	0.229168	0.0575774	0.0830935	0.0797414	0.089058	0.0669873	0.0032665	0.0224659	0.00532654	0.115474	0.0340578	0.126434	0.0409567	0.0329521	0.077711	0.0839194	0.00457034	0.0481274	0.00949621	3.866877
270	-32341.85	-32413.15	71.29554	0.191977	0.0746643	0.032733	0.0334214	0.131815	0.169776	0.0673955	0.0553796	0.0318698	0.0414259	0.136187	0.0696252	0.0900432	0.104634	0.0126506	0.0134638	0.0977544	0.211255	0.0635488	0.0558404	0.0976163	0.122999	0.0285536	0.0402133	0.290022	0.187665	0.026954	0.165537	0.0498307	0.236596	0.0454597	0.0956335	0.0790142	0.0825505	0.0477696	0.00273537	0.0151891	0.0152425	0.117196	0.0337396	0.145612	0.0418199	0.0425461	0.0760946	0.089363	0.00371191	0.0501552	0.00757448	3.922854
280	-32340.04	-32411.13	71.09154	0.207657	0.0655831	0.0370111	0.0321542	0.152799	0.165511	0.0619532	0.0642958	0.0228567	0.0414465	0.14813	0.0690398	0.0701079	0.118146	0.00811394	0.00977351	0.0815826	0.227444	0.0560948	0.041421	0.115641	0.119209	0.034803	0.0310574	0.313159	0.194798	0.0326047	0.153885	0.0454661	0.207035	0.0649347	0.0952639	0.0876737	0.0926294	0.0666184	7.84502e-05	0.0131228	0.00874962	0.115034	0.0321643	0.114295	0.0514717	0.0388916	0.0902076	0.0673653	0.00431728	0.0526292	0.0190305	3.943255
290	-32342.08	-32412.53	70.44557	0.208462	0.0722542	0.0265379	0.0418104	0.126835	0.163683	0.0700579	0.0584516	0.0282726	0.0433512	0.150931	0.065438	0.0727568	0.110265	0.0131824	0.00964756	0.0947099	0.219848	0.0489865	0.0566747	0.107042	0.107352	0.044781	0.0295778	0.323708	0.235209	0.0172844	0.159782	0.0498035	0.264324	0.0511271	0.0857508	0.0896638	0.0847947	0.0564534	0.0018125	0.0168775	0.00619201	0.112708	0.030432	0.126263	0.0495353	0.0414377	0.0738735	0.0834169	0.00221265	0.0532183	0.0210637	4.007851
