Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
25	-15898.89	-15912.63	13.74341	0.112919	0.0943141	0.10826	0.0942282	0.109122	0.0769762	0.133281	0.101855	0.114575	0.158573	0.0640018	0.120496	0.107142	0.0960684	0.109642	0.115109	0.107626	0.111886	0.1091	0.0144883	0.0937943	0.0801359	0.136592	0.0366932	0.0289033	0.0364033	0.06174	0.0616729	0.0335357	0.0247739	0.016135	0.0264967	0.0636711	0.0371087	0.0557752	0.0336783	0.0394559	0.0484477	0.0336786	0.0283465	0.0479903	0.0249469	0.00492873	3.114567
26	-15879.78	-15892.8	13.01818	0.112919	0.0943141	0.10826	0.0942282	0.109122	0.0769762	0.133281	0.101855	0.114575	0.158573	0.0640018	0.120496	0.110322	0.0960684	0.109642	0.130937	0.107626	0.120571	0.14886	0.021751	0.0937943	0.0830665	0.136592	0.0366932	0.0289033	0.0364033	0.06174	0.0616729	0.0558038	0.0206781	0.016135	0.0264967	0.0636711	0.0379734	0.0557752	0.0336783	0.036466	0.0484477	0.0267392	0.023764	0.0383427	0.0249469	0.00492873	3.18709
27	-15867.92	-15880.84	12.91944	0.112919	0.0943141	0.10826	0.0942282	0.109122	0.0769762	0.133281	0.0924801	0.114575	0.149088	0.0800128	0.120496	0.101938	0.0960684	0.109642	0.130937	0.103488	0.120571	0.155992	0.0270455	0.09165	0.0830665	0.177652	0.0366932	0.0289033	0.0382834	0.0511607	0.0616729	0.0558038	0.0206781	0.0101673	0.0264967	0.0636711	0.0379734	0.0557752	0.0336783	0.036442	0.0423728	0.0215997	0.0296518	0.032263	0.0249469	0.00492873	3.196964
28	-15864.49	-15877.39	12.89971	0.112919	0.0943141	0.101462	0.0942282	0.109122	0.0769762	0.133281	0.0875917	0.114575	0.149088	0.0800128	0.120496	0.101938	0.0960684	0.109642	0.130937	0.103488	0.120571	0.155992	0.0270455	0.09165	0.0830665	0.177652	0.032266	0.0267645	0.0382834	0.0542475	0.0616729	0.0558038	0.0149233	0.0140685	0.0247902	0.0782296	0.0379734	0.0557752	0.0336783	0.036442	0.054499	0.0215997	0.0229824	0.032263	0.0249469	0.00561101	3.198936
29	-15833.14	-15846.84	13.69902	0.112919	0.0943141	0.101462	0.0942282	0.109122	0.0769762	0.139805	0.0904534	0.114575	0.149088	0.0800128	0.0784064	0.101938	0.0823424	0.109642	0.1354	0.103488	0.120571	0.105643	0.040558	0.09165	0.0820186	0.177652	0.032266	0.0267645	0.0382834	0.0542475	0.0616729	0.0558038	0.016094	0.0249555	0.0211854	0.0782296	0.0379734	0.0557752	0.0323909	0.0303077	0.0320232	0.0298547	0.038045	0.0303103	0.0249469	0.00561101	3.119006
30	-15834.3	-15848.08	13.77865	0.124342	0.1065	0.101462	0.0942282	0.109122	0.0769762	0.139805	0.0904534	0.084988	0.147571	0.0800128	0.0784064	0.101938	0.0823424	0.109642	0.1354	0.0961565	0.120571	0.137771	0.040558	0.09165	0.0817771	0.177652	0.0361365	0.0267645	0.0382834	0.0542475	0.0616729	0.0351275	0.0129105	0.0249555	0.0123823	0.0685311	0.0379734	0.0557752	0.0323909	0.0333007	0.0320232	0.0298547	0.038045	0.0358794	0.0298527	0.00561101	3.111043
31	-15828.81	-15842.45	13.64109	0.126925	0.1065	0.101462	0.0942282	0.109122	0.0769762	0.139805	0.0904534	0.0910867	0.147571	0.0800128	0.0784064	0.101938	0.0790147	0.100859	0.1354	0.128595	0.120571	0.137918	0.0426739	0.09165	0.0817771	0.174741	0.0361365	0.0223593	0.0476369	0.0386171	0.0616729	0.0410608	0.0129105	0.0220453	0.0123823	0.0685311	0.0406571	0.0557752	0.0323909	0.0333007	0.037704	0.0270578	0.0347566	0.0273402	0.0291454	0.00563059	3.124799
32	-15823.06	-15836.64	13.58415	0.126925	0.1065	0.101462	0.0942282	0.109122	0.0769762	0.139805	0.0904534	0.0909157	0.147571	0.0800128	0.0844448	0.0806135	0.0905706	0.12754	0.1354	0.128595	0.120571	0.137918	0.0480977	0.09165	0.0817771	0.146463	0.0361365	0.0223593	0.0444525	0.0386171	0.0616729	0.0410608	0.013894	0.0306601	0.0123823	0.0685311	0.0406571	0.0557752	0.0269681	0.0367971	0.0549281	0.022362	0.0347566	0.0273402	0.017898	0.00563059	3.130493
33	-15808.65	-15821.63	12.97367	0.126925	0.1065	0.101462	0.10326	0.116448	0.0841826	0.11807	0.0817744	0.0909157	0.147571	0.0800128	0.0844448	0.0812512	0.0868555	0.12754	0.1354	0.128595	0.120571	0.137918	0.0480977	0.09165	0.0817771	0.181807	0.0410117	0.0223593	0.0444525	0.0386171	0.0525114	0.0410608	0.0131686	0.0306601	0.0112101	0.0853602	0.0406571	0.0557752	0.0289448	0.0367971	0.0650583	0.022362	0.0347566	0.0273402	0.017898	0.0185094	3.191541
34	-15807.89	-15820.35	12.45651	0.126925	0.1065	0.101462	0.10326	0.116448	0.0841826	0.11807	0.0817744	0.0909157	0.147571	0.0800128	0.0844448	0.0812512	0.0868555	0.12754	0.1354	0.131737	0.120571	0.133851	0.0791612	0.09165	0.0817771	0.181807	0.0333601	0.0223593	0.0444525	0.0386171	0.0660351	0.0552765	0.0114121	0.0252237	0.0178375	0.084537	0.0334811	0.0557752	0.0289448	0.0362453	0.0650583	0.0240755	0.0430251	0.0273402	0.0185227	0.0185094	3.243257
35	-15803.98	-15816.26	12.2822	0.126925	0.1065	0.101462	0.10326	0.116448	0.0809288	0.124105	0.0817744	0.0909157	0.147571	0.0800128	0.0844448	0.0812512	0.0868555	0.12754	0.1354	0.131737	0.120571	0.133851	0.0914647	0.0962582	0.0817771	0.181807	0.0333601	0.0263088	0.0422233	0.0342001	0.0660351	0.0552765	0.0114121	0.0252237	0.0249679	0.0893009	0.0334811	0.0561389	0.0289448	0.029031	0.0650583	0.0240755	0.0430251	0.0227317	0.0185227	0.0185094	3.260688
36	-15807.34	-15820.48	13.1477	0.126925	0.1065	0.101462	0.0996841	0.100525	0.0809288	0.124105	0.0817744	0.0977494	0.158334	0.0730694	0.0844448	0.0812512	0.0868555	0.12754	0.121783	0.131737	0.126661	0.133851	0.0914647	0.0962582	0.0817771	0.181807	0.0333601	0.0263088	0.0359391	0.0342001	0.0414709	0.0552765	0.0114121	0.0252237	0.0249679	0.0623131	0.0334811	0.0561389	0.0289448	0.029031	0.0650583	0.0240755	0.0430251	0.0174028	0.0115119	0.0185094	3.174138
