Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
21	-15846.26	-15858.58	12.32083	0.0919175	0.0912943	0.0919822	0.113534	0.13248	0.0898944	0.141971	0.0784956	0.0917379	0.147628	0.0977495	0.0761701	0.110902	0.0993637	0.113844	0.114648	0.0818306	0.103943	0.125293	0.099306	0.0877681	0.0757884	0.19539	0.0608964	0.0482021	0.0355798	0.0289018	0.0702456	0.0512607	0.0237209	0.022494	0.0200118	0.0340939	0.0421274	0.0493754	0.0399025	0.0503613	0.0203325	0.0360317	0.0542841	0.0332457	0.0380091	0.0448179	3.256825
22	-15824.53	-15836.13	11.60104	0.143767	0.0912943	0.10853	0.113534	0.13248	0.0898944	0.141971	0.0784956	0.104417	0.147628	0.0977495	0.0928463	0.110902	0.0993637	0.113844	0.114648	0.0920878	0.103943	0.125293	0.0638183	0.0823782	0.0766338	0.19539	0.0938511	0.0368302	0.0355798	0.0337789	0.0702456	0.0415606	0.0347044	0.022494	0.0245517	0.0340939	0.022873	0.0493754	0.0399025	0.0503613	0.0306528	0.0360317	0.0349363	0.0332457	0.0380091	0.0448179	3.328804
23	-15823.46	-15835.08	11.62045	0.106635	0.0912943	0.0796761	0.104581	0.13248	0.0898944	0.152469	0.0784956	0.104417	0.147628	0.0776038	0.0852809	0.110902	0.0993637	0.113844	0.114648	0.101801	0.149559	0.125293	0.0916178	0.0783304	0.0766338	0.19539	0.0938511	0.0368302	0.0355798	0.0337789	0.0702456	0.0495619	0.0347044	0.022494	0.0298397	0.0340939	0.0247737	0.0493754	0.0399025	0.0503613	0.0265919	0.0360317	0.0349363	0.0332457	0.0380091	0.0448179	3.326863
24	-15827.1	-15838.96	11.85389	0.13425	0.0912943	0.0796761	0.104581	0.13248	0.0628436	0.152469	0.0784956	0.104417	0.147628	0.0776038	0.0852809	0.120913	0.0993637	0.113844	0.114648	0.101801	0.145926	0.094859	0.0916178	0.10316	0.0766338	0.19539	0.0938511	0.0368302	0.0355798	0.0337789	0.0698551	0.0471658	0.0347044	0.0140081	0.0298397	0.0353219	0.0247737	0.0493754	0.0399025	0.0503613	0.0339659	0.0360317	0.0349363	0.024793	0.0244499	0.0448179	3.303519
25	-15817.71	-15830.21	12.49421	0.13425	0.0957126	0.0796761	0.104581	0.113474	0.0753785	0.105221	0.0784956	0.104417	0.147628	0.0776038	0.0927122	0.120913	0.0993637	0.113844	0.114648	0.109619	0.136243	0.0915822	0.0916178	0.10316	0.0634732	0.19539	0.0938511	0.0368302	0.0377698	0.0337789	0.0698551	0.0471658	0.0347044	0.0140081	0.0348403	0.0340081	0.0247737	0.0493754	0.0399025	0.038286	0.0339659	0.0428635	0.0368997	0.024793	0.0244499	0.0383616	3.239487
26	-15811.44	-15824.11	12.67446	0.13425	0.0957126	0.0796761	0.104581	0.113474	0.0842721	0.126508	0.0680076	0.116064	0.147628	0.0776038	0.0927122	0.120913	0.101329	0.113844	0.114648	0.109619	0.136243	0.119903	0.0916178	0.10316	0.0634732	0.148094	0.0938511	0.0386061	0.0377698	0.0475131	0.0429206	0.0471658	0.0347044	0.00987855	0.0348403	0.0340081	0.0247737	0.0613905	0.0399025	0.0254858	0.0237935	0.0262455	0.0368997	0.0385322	0.0244499	0.0353977	3.221462
27	-15804.45	-15817.94	13.4893	0.13425	0.0957126	0.0982445	0.10342	0.113474	0.0842721	0.126508	0.0868926	0.0852405	0.147628	0.0646538	0.0927122	0.0901976	0.101329	0.113844	0.114648	0.109619	0.103913	0.119903	0.0776504	0.10316	0.0634732	0.148094	0.0938511	0.0386061	0.0377698	0.0475131	0.0466509	0.0470551	0.0347044	0.00987855	0.0348403	0.0340081	0.0215166	0.0613905	0.0399025	0.028591	0.0304118	0.0181992	0.0452623	0.0355853	0.0232021	0.0321991	3.139978
28	-15809.76	-15822.83	13.06348	0.13425	0.0957126	0.123866	0.10342	0.116453	0.0842721	0.127786	0.0868926	0.0852405	0.147628	0.0646538	0.0711524	0.0901976	0.122946	0.105019	0.126954	0.109619	0.103913	0.119903	0.0776504	0.108012	0.0721472	0.148094	0.0938511	0.0386061	0.0290484	0.0475131	0.0406927	0.0470551	0.0378987	0.00987855	0.0299764	0.0399479	0.0211966	0.0613905	0.0399025	0.028591	0.0478781	0.0134304	0.0452623	0.0292574	0.0232021	0.0321991	3.182559
29	-15805.4	-15818.68	13.28385	0.13425	0.0957126	0.0781051	0.0996132	0.116453	0.0842721	0.127786	0.0868926	0.0852405	0.147628	0.0646538	0.0711524	0.0901976	0.119489	0.105019	0.126954	0.109619	0.103913	0.119903	0.0776504	0.108012	0.0846808	0.148094	0.0938511	0.0386061	0.0290484	0.0441533	0.047816	0.0470551	0.0378987	0.00987855	0.0437144	0.0399479	0.0209061	0.0613905	0.0399025	0.0228943	0.0478781	0.0195014	0.0395124	0.0282392	0.0232021	0.0398355	3.160523
30	-15802.72	-15815.48	12.76378	0.13425	0.0957126	0.0872253	0.0996132	0.110799	0.0842721	0.127786	0.0868926	0.0852405	0.147628	0.0646538	0.0789333	0.0901976	0.119489	0.114358	0.126954	0.137602	0.103913	0.119903	0.0760352	0.108012	0.0846808	0.148094	0.0908321	0.0348593	0.0343125	0.0441533	0.0629362	0.0470551	0.025017	0.00987855	0.0437144	0.0399479	0.0261571	0.0613905	0.0399025	0.0228943	0.0478781	0.0277079	0.0395124	0.0282392	0.0232021	0.0306933	3.21253
