Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
21	-17368.44	-17375.55	7.109274	0.145146	0.230103	0.189123	0.0739031	0.140805	0.0985425	0.161791	0.214914	0.138742	0.117391	0.0999418	0.135647	0.0806205	0.13608	0.0628786	0.130373	0.114249	0.146731	0.171763	0.150759	0.0915027	0.121667	0.174709	0.0544152	0.0446097	0.0432803	0.0132217	0.0191554	0.029311	0.00989209	0.00957406	0.00722168	0.00394998	0.0303426	0.124341	0.0279542	0.0441877	0.0448312	0.0225035	0.0404609	0.0201504	0.0184181	0.0427786	3.777981
22	-17346.82	-17353.5	6.67704	0.132386	0.230103	0.189123	0.0683194	0.140805	0.0985425	0.161791	0.200955	0.138742	0.1573	0.0999418	0.135647	0.125397	0.13608	0.0628786	0.130373	0.114249	0.147467	0.171763	0.150759	0.0915027	0.121667	0.174709	0.0569656	0.046277	0.0460387	0.00753401	0.0173814	0.029311	0.0239987	0.00957406	0.00722168	0.00394998	0.0181057	0.124341	0.0279542	0.0441877	0.0478754	0.0225035	0.0394694	0.0199654	0.0134756	0.0345742	3.821204
23	-17336.73	-17343.51	6.78435	0.132386	0.230103	0.189123	0.0683194	0.140805	0.0985425	0.191387	0.191422	0.130089	0.1573	0.0999418	0.105396	0.125397	0.13608	0.0628786	0.130373	0.114249	0.147467	0.171763	0.150759	0.0915027	0.121667	0.174709	0.0442011	0.0671094	0.0460387	0.00676352	0.0173814	0.0258404	0.0239987	0.00957406	0.00722168	0.00394998	0.0293934	0.124341	0.0239681	0.0441877	0.0437858	0.0225035	0.0394694	0.0229223	0.0115902	0.0345742	3.810473
24	-17327.18	-17334.03	6.85265	0.132386	0.230103	0.189123	0.107595	0.140805	0.0985425	0.161467	0.191422	0.130089	0.1573	0.0999418	0.105396	0.125397	0.13608	0.0628786	0.130373	0.114249	0.147467	0.151783	0.150759	0.0915027	0.133477	0.174709	0.0442011	0.0671094	0.0499703	0.00435445	0.0173814	0.0219906	0.0170043	0.00779675	0.00722168	0.00394998	0.0244038	0.124341	0.0239681	0.032205	0.0659916	0.0225035	0.0394694	0.022059	0.0103028	0.0345742	3.803643
25	-17310.16	-17316.79	6.633165	0.132386	0.230103	0.189123	0.0835278	0.140805	0.0985425	0.161467	0.191422	0.130089	0.1573	0.0999418	0.105396	0.125397	0.13608	0.0747794	0.130373	0.114249	0.147467	0.151783	0.139283	0.0915027	0.133477	0.174709	0.0708605	0.0671094	0.0499703	0.00772836	0.0173814	0.0219906	0.0170043	0.00779675	0.0105078	0.00394998	0.0181549	0.124341	0.0389113	0.032205	0.0561119	0.0225035	0.0579056	0.022059	0.0103028	0.029595	3.825591
26	-17293.82	-17300.89	7.07014	0.132386	0.230103	0.18052	0.0835278	0.140805	0.0985425	0.161467	0.191422	0.130089	0.150023	0.110042	0.105396	0.0898848	0.13608	0.0747794	0.157938	0.114249	0.147467	0.151783	0.139283	0.0915027	0.133699	0.174709	0.0708605	0.0440809	0.0416835	0.00656661	0.0253218	0.0219906	0.0126873	0.00823699	0.0105078	0.00399305	0.0172101	0.124341	0.0389113	0.032205	0.0561119	0.0231209	0.0579056	0.022059	0.00880863	0.029595	3.781894
27	-17259.02	-17266.12	7.105297	0.132386	0.230103	0.18052	0.104576	0.125312	0.0985425	0.161467	0.191422	0.130089	0.145598	0.110042	0.105396	0.0898848	0.13608	0.0831965	0.157938	0.114249	0.147467	0.151783	0.139283	0.0915027	0.133699	0.174709	0.0708605	0.0440809	0.0416835	0.00656661	0.0253218	0.0219906	0.0132058	0.00823699	0.0140263	0.00632401	0.0172101	0.110258	0.0389113	0.0438387	0.0561119	0.0147042	0.0579056	0.0245732	0.00657044	0.0207521	3.778378
28	-17258.18	-17265.04	6.85476	0.132386	0.230103	0.221783	0.104576	0.13278	0.0985425	0.161467	0.191422	0.130089	0.145598	0.110042	0.105396	0.0898848	0.147609	0.0831965	0.143055	0.114249	0.147467	0.151783	0.139283	0.0915027	0.109406	0.174709	0.0586893	0.0440809	0.0570239	0.00601473	0.0253218	0.0233169	0.00972181	0.00823699	0.0148013	0.00632401	0.0159415	0.110258	0.0389113	0.0438387	0.0402264	0.0216118	0.0579056	0.0375543	0.00657044	0.0207521	3.803432
29	-17207.64	-17214.79	7.144191	0.132386	0.230103	0.175538	0.104576	0.134071	0.0985425	0.161467	0.185872	0.130089	0.145598	0.110042	0.105396	0.0898848	0.147609	0.0986124	0.141857	0.114249	0.147467	0.151783	0.139283	0.0915027	0.113112	0.174709	0.0425632	0.0440809	0.0572944	0.00601473	0.0253218	0.0233169	0.00972181	0.00616772	0.0148013	0.00632401	0.0159415	0.110258	0.0389113	0.0614813	0.0506137	0.0216118	0.0451998	0.0375543	0.00898001	0.0245814	3.774489
30	-17153.64	-17160.87	7.228139	0.132386	0.202438	0.175538	0.104576	0.134071	0.0985425	0.157266	0.185872	0.130089	0.145598	0.110042	0.105396	0.0898848	0.147609	0.0986124	0.141857	0.150832	0.12499	0.179097	0.139283	0.0915027	0.113112	0.174709	0.0425632	0.0440809	0.0572944	0.00601473	0.0253218	0.0232629	0.00924658	0.0075338	0.0148013	0.00632401	0.018252	0.110258	0.0374621	0.0510342	0.0506137	0.0225532	0.043064	0.0257832	0.00898001	0.0283471	3.766094
31	-17076	-17082.8	6.794652	0.135392	0.202438	0.199503	0.104576	0.148792	0.0985425	0.157266	0.185872	0.130089	0.167817	0.110042	0.105396	0.0898848	0.147609	0.117367	0.141857	0.150832	0.12499	0.173254	0.113935	0.0915027	0.113112	0.174709	0.0425632	0.0440809	0.0572944	0.00601473	0.0370506	0.0214908	0.0145982	0.0103865	0.0222489	0.00632401	0.018252	0.110258	0.0234253	0.0510342	0.0506137	0.0225532	0.0358723	0.018118	0.00895861	0.023528	3.809443
32	-17049.94	-17057.87	7.930083	0.133663	0.198767	0.199503	0.112047	0.148792	0.0985425	0.157266	0.114581	0.130089	0.159822	0.110042	0.107843	0.0974275	0.147609	0.12058	0.130756	0.150832	0.12499	0.157484	0.113935	0.0915027	0.113112	0.174709	0.0425632	0.0440809	0.0480204	0.00769643	0.0370506	0.0203567	0.0145982	0.0103865	0.0298071	0.00750544	0.018252	0.110258	0.0193765	0.0510342	0.0319886	0.0225532	0.0358723	0.018118	0.00895861	0.023528	3.6959
33	-17043.06	-17051.45	8.389063	0.133663	0.198767	0.199503	0.0995885	0.148792	0.0985425	0.157266	0.114581	0.139184	0.159822	0.110042	0.107843	0.0974275	0.147609	0.12058	0.130756	0.136925	0.12499	0.157484	0.113935	0.0915027	0.113112	0.174709	0.0425632	0.0359294	0.0499292	0.00769643	0.0370506	0.0203567	0.0145982	0.00722291	0.0390502	0.00750544	0.018252	0.110258	0.0193765	0.0470438	0.0246811	0.0225532	0.0278881	0.018118	0.00895861	0.0143454	3.650002
34	-17035.65	-17044.22	8.571207	0.133697	0.204774	0.185574	0.0995885	0.148792	0.0985425	0.157266	0.114581	0.139184	0.159822	0.110042	0.107843	0.0974275	0.147609	0.12058	0.130756	0.136925	0.105436	0.157484	0.123341	0.0915027	0.123531	0.174709	0.0380567	0.0311138	0.0499292	0.00769643	0.0370506	0.0176659	0.00890843	0.00722291	0.0300289	0.00750544	0.018252	0.110258	0.0193765	0.0470438	0.0246811	0.0294974	0.0315542	0.0236336	0.00895861	0.0143454	3.631787
35	-17005.89	-17014.44	8.54933	0.090671	0.204774	0.185574	0.0995885	0.148792	0.0994109	0.157266	0.114581	0.143114	0.145188	0.110042	0.132233	0.0974275	0.147609	0.12058	0.130756	0.136925	0.150758	0.153253	0.123341	0.0915027	0.123531	0.174709	0.0338171	0.0311138	0.0499292	0.00769643	0.0370506	0.0176659	0.00890843	0.00646197	0.0260713	0.00750544	0.018252	0.110258	0.0135936	0.0404485	0.0296651	0.0294974	0.037474	0.0236336	0.00895861	0.0143454	3.633975
36	-17000.11	-17007.86	7.753457	0.121008	0.193896	0.185574	0.0995885	0.1394	0.0994109	0.159782	0.0777004	0.143114	0.145188	0.110042	0.132233	0.0974275	0.173465	0.116719	0.127874	0.136925	0.147354	0.153253	0.123341	0.0915027	0.123531	0.20919	0.0338171	0.0210742	0.0499292	0.00851733	0.0495363	0.0176659	0.00660627	0.00591357	0.0260713	0.00750544	0.0203427	0.110258	0.0135936	0.0530486	0.0353556	0.0220328	0.0690943	0.0323752	0.00895861	0.0143454	3.713562
